asset_id,class,source,status,atlas,x,y,w,h,blocking,anchor_rule,collision_footprint,draw_rule
TILE_ground_brown_01,terrain,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,0,0,48,48,false,base_floor,none,normal_depth
TILE_ground_brown_02,terrain,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,48,0,48,48,false,base_floor,none,normal_depth
TILE_ground_brown_03,terrain,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,96,0,48,48,false,base_floor,none,normal_depth
TILE_ground_moss_01,terrain,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,144,0,48,48,false,base_floor,none,normal_depth
TILE_ground_moss_02,terrain,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,192,0,48,48,false,base_floor,none,normal_depth
TILE_path_bare_01,terrain,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,240,0,48,48,false,walk_corridor,none,normal_depth
TILE_path_bare_02,terrain,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,288,0,48,48,false,walk_corridor,none,normal_depth
TREE_canopy_large_A,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,336,0,48,48,true,forest_boundary,trunk_footprint,canopy_may_overdraw_actor
TREE_canopy_large_B,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,0,48,48,48,true,forest_boundary,trunk_footprint,canopy_may_overdraw_actor
TREE_canopy_large_C,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,48,48,48,48,true,forest_boundary,trunk_footprint,canopy_may_overdraw_actor
TREE_canopy_large_D,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,96,48,48,48,true,forest_boundary,trunk_footprint,canopy_may_overdraw_actor
TREE_twisted_A,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,144,48,48,48,true,encounter_or_stream_edge,trunk_footprint,canopy_may_overdraw_actor
TREE_twisted_B,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,192,48,48,48,true,encounter_or_stream_edge,trunk_footprint,canopy_may_overdraw_actor
TREE_twisted_C,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,240,48,48,48,true,encounter_or_stream_edge,trunk_footprint,canopy_may_overdraw_actor
TREE_dead_A,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,288,48,48,48,true,encounter_or_stream_edge,trunk_footprint,canopy_may_overdraw_actor
TREE_dead_B,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,336,48,48,48,true,encounter_or_stream_edge,trunk_footprint,canopy_may_overdraw_actor
TREE_dead_C,tree,user_reference_20260926+official_pote_reference,REFERENCE_DERIVED_ADAPTED_V1,POTE_FOREST_ATLAS_V1.png,0,96,48,48,true,encounter_or_stream_edge,trunk_footprint,canopy_may_overdraw_actor
