visual_id,visual_name,visual_type,candidate_canonical_item_id,candidate_canonical_name,rule,mapping_status,identity_status,confidence,note
mu0000043,수오미지폰,armor,IT_WAR_ARM_2A,지폰,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000044,밀레스지폰,armor,IT_WAR_ARM_2A,지폰,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000045,뤼케시온지폰,armor,IT_WAR_ARM_2A,지폰,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000046,루어스지폰,armor,IT_WAR_ARM_2A,지폰,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000047,수오미노미쉬레더,armor,IT_ROG_ARM_2A,노미쉬레더,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000048,뤼케시온노미쉬레더,armor,IT_ROG_ARM_2A,노미쉬레더,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000049,밀레스노미쉬레더,armor,IT_ROG_ARM_2A,노미쉬레더,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000050,루어스노미쉬레더,armor,IT_ROG_ARM_2A,노미쉬레더,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000051,수오미달마티카,armor,IT_WIZ_ARM_2A,달마티카,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
mu0000052,뤼케시온달마티카,armor,IT_WIZ_ARM_2A,달마티카,STRIP_TOWN_PREFIX,VISUAL_VARIANT_FAMILY_CANDIDATE,NOT_EXACT_ITEM_IDENTITY,HIGH_FAMILY / NOT_IDENTITY,정규화 결과 동일 원형 이름. 도시/FX/성별 변형은 별도 item identity일 수 있으므로 canonical Item_ID로 자동 승격 금지.
