Asset_ID,Item_ID,Asset_Type,Variant,Source_ID,SourceURL,SourceAssetURL,LocalPath,SHA256,Width,Height,Format,Evidence,Era,ObservedAt,LicenseStatus,MappingStatus,Notes
"ASSET_NX5054_HOLDIT_UPGRADE","","REFERENCE","HOLDIT_ELEMENT_VARIANTS","SRC_NEXON_UPDATE_5054","https://lod.nexon.com/news/update/5054","https://storage.nexon.com/dsk00/00/NX_FILE/Board/65536/05/1/000/00/00/4620787655423033475.png","","","1000","714","PNG","O","2024","2026-09-18","REFERENCE_ONLY","UNMAPPED","Official equipment-upgrade screenshot visibly contains 홀디트링 plus water/earth/wind/fire 홀디트링 inventory icons and 꿈의바다 material icon"
"ASSET_NX5022_UPDATE_IMAGE","","REFERENCE","EQUIPMENT_BALANCE_UPDATE","SRC_NEXON_UPDATE_5022","https://lod.nexon.com/News/update/5022","https://storage.nexon.com/dsk02/09/FILE/Notice/65536/2017/0725/13/6940049224801223241.jpg","","","","","JPG","O","2023","2026-09-18","REFERENCE_ONLY","UNMAPPED","Official page image asset discovered from Nexon redirect; needs visual item-level crop/identity verification before mapping"
"ASSET_NX5036_KNIGHT_HELM","IT_3C_KNIGHT_HELM","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk03/13/NX_FILE/Board/65536/05/0/000/00/02/5557529905400384418.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_KNIGHT_ARMOR_M","IT_3C_KNIGHT_ARMOR","ICON","variant_1","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk03/15/NX_FILE/Board/65536/05/0/000/00/02/5701645093476239647.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_KNIGHT_ARMOR_F","IT_3C_KNIGHT_ARMOR","ICON","variant_2","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk00/01/NX_FILE/Board/65536/05/0/000/00/02/4692838776945248280.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_KNIGHT_SWORD","IT_3C_KNIGHT_SWORD","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk03/15/NX_FILE/Board/65536/05/0/000/00/02/5701645093476239648.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ASSASSIN_HOOD","IT_3C_ASSASSIN_HOOD","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk00/00/NX_FILE/Board/65536/05/0/000/00/02/4620781182907320299.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ASSASSIN_ARMOR_1","IT_3C_ASSASSIN_ARMOR","ICON","variant_1","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk03/15/NX_FILE/Board/65536/05/0/000/00/02/5701645093476239649.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ASSASSIN_ARMOR_2","IT_3C_ASSASSIN_ARMOR","ICON","variant_2","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk00/00/NX_FILE/Board/65536/05/0/000/00/02/4620781182907320300.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ASSASSIN_KNIFE","IT_3C_ASSASSIN_KNIFE","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk01/04/NX_FILE/Board/65536/05/0/000/00/01/4909011559059031890.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ELEMENTAL_HOOD","IT_3C_ELEMENTAL_HOOD","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk02/11/NX_FILE/Board/65536/05/0/000/00/01/5413414717324527357.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ELEMENTAL_ARMOR_1","IT_3C_ELEMENTAL_ARMOR","ICON","variant_1","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk01/05/NX_FILE/Board/65536/05/0/000/00/01/4981069153096959580.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ELEMENTAL_ARMOR_2","IT_3C_ELEMENTAL_ARMOR","ICON","variant_2","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk02/11/NX_FILE/Board/65536/05/0/000/00/01/5413414717324527358.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_ELEMENTAL_STAFF","IT_3C_ELEMENTAL_STAFF","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk01/07/NX_FILE/Board/65536/05/0/000/00/01/5125184341172815666.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_CLERIC_HOOD","IT_3C_CLERIC_HOOD","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk01/06/NX_FILE/Board/65536/05/0/000/00/01/5053126747134887473.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_CLERIC_ARMOR_1","IT_3C_CLERIC_ARMOR","ICON","variant_1","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk00/01/NX_FILE/Board/65536/05/0/000/00/02/4692838776945248281.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_CLERIC_ARMOR_2","IT_3C_CLERIC_ARMOR","ICON","variant_2","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk00/02/NX_FILE/Board/65536/05/0/000/00/02/4764896370983176247.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_CLERIC_STAFF","IT_3C_CLERIC_STAFF","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk00/00/NX_FILE/Board/65536/05/0/000/00/02/4620781182907320301.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_SOUL_MASK_1","IT_3C_SOUL_MASK","ICON","variant_1","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk01/05/NX_FILE/Board/65536/05/0/000/00/01/4981069153096959581.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_SOUL_MASK_2","IT_3C_SOUL_MASK","ICON","variant_2","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk02/08/NX_FILE/Board/65536/05/0/000/00/01/5197241935210743705.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_SOUL_ARMOR_1","IT_3C_SOUL_ARMOR","ICON","variant_1","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk02/11/NX_FILE/Board/65536/05/0/000/00/01/5413414717324527359.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_SOUL_ARMOR_2","IT_3C_SOUL_ARMOR","ICON","variant_2","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk00/02/NX_FILE/Board/65536/05/0/000/00/02/4764896370983176248.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
"ASSET_NX5036_SOUL_GLOVE","IT_3C_SOUL_GLOVE","ICON","default","SRC_NEXON_UPDATE_5036","https://lod.nexon.com/news/update/5036","https://storage.nexon.com/dsk03/15/NX_FILE/Board/65536/05/0/000/00/02/5701645093476239650.png","","","64","64","PNG","O","2023","2026-09-18","OFFICIAL_WEB","MAPPED","Official per-item image from Nexon equipment table"
