Item_ID,아이템명,대분류,세부분류,직업,써클,요구Lv,슬롯,공격속성,방어속성,효과/역할,획득처,NPC판매,유저거래,Source_ID,신뢰도,비고
IT_3C_KNIGHT_HELM,나이트헬름,장비,투구,전사,3C_ADV,,투구,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,2023 3차직업 장비
IT_3C_KNIGHT_ARMOR,나이트아머,장비,갑옷,전사,3C_ADV,,갑옷,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,남녀 외형 존재
IT_3C_KNIGHT_SWORD,나이트소드,장비,무기,전사,3C_ADV,,무기,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_3C_ASSASSIN_HOOD,어쌔신후드,장비,투구,도적,3C_ADV,,투구,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_3C_ASSASSIN_ARMOR,어쌔신아머,장비,갑옷,도적,3C_ADV,,갑옷,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,남녀 외형 존재
IT_3C_ASSASSIN_KNIFE,어쌔신나이프,장비,무기,도적,3C_ADV,,무기,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_3C_ELEMENTAL_HOOD,엘리멘탈후드,장비,투구,마법사,3C_ADV,,투구,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_3C_ELEMENTAL_ARMOR,엘리멘탈아머,장비,갑옷,마법사,3C_ADV,,갑옷,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,남녀 외형 존재
IT_3C_ELEMENTAL_STAFF,엘리멘탈스태프,장비,무기,마법사,3C_ADV,,무기,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_3C_CLERIC_HOOD,클레릭후드,장비,투구,성직자,3C_ADV,,투구,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_3C_CLERIC_ARMOR,클레릭아머,장비,갑옷,성직자,3C_ADV,,갑옷,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,남녀 외형 존재
IT_3C_CLERIC_STAFF,클레릭스태프,장비,무기,성직자,3C_ADV,,무기,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_3C_SOUL_MASK,소울릭마스크,장비,투구,무도가,3C_ADV,,투구,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,복수 외형 존재
IT_3C_SOUL_ARMOR,소울릭아머,장비,갑옷,무도가,3C_ADV,,갑옷,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,남녀 외형 존재
IT_3C_SOUL_GLOVE,소울릭글러브,장비,무기,무도가,3C_ADV,,무기,,,,나겔링 대장간 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_NAGELING_NECK,나겔링목걸이,장비,목걸이,공통,3C_ADV,,목걸이,VARIANT,,,나겔링 몬스터/보석상 속성부여,,,SRC_NEXON_UPDATE_5036,O,무속성 및 속성 variants
IT_NAGELING_BELT,나겔링벨트,장비,벨트,공통,3C_ADV,,벨트,,VARIANT,,나겔링 몬스터/보석상 속성부여,,,SRC_NEXON_UPDATE_5036,O,무속성 및 속성 variants
IT_NAGELING_LEGGINGS,나겔링각반,장비,각반,공통,3C_ADV,,각반,,,,나겔링 보석상 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_NAGELING_EARRING,나겔링이어링,장비,귀걸이,공통,3C_ADV,,귀걸이,,,,나겔링 보석상 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_NAGELING_RING,나겔링반지,장비,반지,공통,3C_ADV,,반지,,,,나겔링 보석상 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
IT_NAGELING_GLOVE,나겔링글러브,장비,장갑,공통,3C_ADV,,장갑,,,,나겔링 보석상 제조/강화,,,SRC_NEXON_UPDATE_5036,O,
