Evidence_ID,Item_ID,Field,Value,Source_ID,SourceItemKey,SourceURL,Evidence,Era,ObservedAt,Status,Notes
"EV_NX4935_HORD","","ALL_STATS","AC=-1;HIT=5;DAM=10;HP=1000;MP=1000;DUR=10000","SRC_NEXON_UPDATE_4935","","https://lod.nexon.com/News/update/4935","O","2022","2026-09-18","UNMAPPED","Four elemental Hord necklace variants; canonical IDs pending"
"EV_NX4471_DGG","IT_DARKGRAY_GAUNTLET_P1","ALL_STATS","AC=-3;DAM=2;HP=200;CON=1;DUR=12000","SRC_NEXON_COMMUNITY_4471","","https://lod.nexon.com/community/game/4471?SearchBoard=1","V","2009","2026-09-18","MAPPED","다크그레이건틀렛+1"
"EV_NX4471_DGR","IT_DARKGRAY_RING_P1","ALL_STATS","AC=-1;HIT=1;DAM=1;HP=350;MP=150;STR=1;DUR=12000","SRC_NEXON_COMMUNITY_4471","","https://lod.nexon.com/community/game/4471?SearchBoard=1","V","2009","2026-09-18","MAPPED","다크그레이링+1"
"EV_NX4471_DGL","IT_DARKGRAY_LEGGINGS_P1","ALL_STATS","AC=-6;HIT=3;DAM=1;HP=200;MP=200;MDEF=10;DUR=3000","SRC_NEXON_COMMUNITY_4471","","https://lod.nexon.com/community/game/4471?SearchBoard=1","V","2009","2026-09-18","MAPPED","다크그레이각반+1"
"EV_NX4471_DGE","IT_DARKGRAY_EARRING_P1","ALL_STATS","AC=-1;HP=100;DUR=12000","SRC_NEXON_COMMUNITY_4471","","https://lod.nexon.com/community/game/4471?SearchBoard=1","V","2009","2026-09-18","MAPPED","다크그레이이어링+1"
"EV_NX4471_DGB","IT_DARKGRAY_BELT_P1","ALL_STATS","MP=50;WIS=1;CON=1;DUR=10000","SRC_NEXON_COMMUNITY_4471","","https://lod.nexon.com/community/game/4471?SearchBoard=1","V","2009","2026-09-18","MAPPED","다크그레이벨트+1"
"EV_NX4471_DGN","IT_DARKGRAY_NECKLACE_P1","ALL_STATS","AC=-1;HIT=2;DUR=10000","SRC_NEXON_COMMUNITY_4471","","https://lod.nexon.com/community/game/4471?SearchBoard=1","V","2009","2026-09-18","MAPPED","다크그레이스네클리스+1; element varies by color"
"EV_NX268_NAMO","","ALL_STATS","AC=-62;HP=1000;MP=-600;STR=-1;DEX=-1;MDEF=30","SRC_NEXON_COMMUNITY_268","","https://lod.nexon.com/community/game/268?SearchBoard=1","V","2006","2026-09-18","UNMAPPED","나모/올로스"
"EV_NX268_NAMO_A","","ALL_STATS","AC=-63;HP=1000;MP=-600;STR=-1;DEX=-1;HIT=1;DAM=1;MDEF=30","SRC_NEXON_COMMUNITY_268","","https://lod.nexon.com/community/game/268?SearchBoard=1","V","2006","2026-09-18","UNMAPPED","나모(A)/올로스(A)"
"EV_NX268_SORON3","","ALL_STATS","AC=-65;HP=1150;MP=-500;STR=-2;DEX=-1;HIT=1;DAM=2;MDEF=30","SRC_NEXON_COMMUNITY_268","","https://lod.nexon.com/community/game/268?SearchBoard=1","V","2006","2026-09-18","UNMAPPED","소론(+3)/소로니(+3)"
"EV_NX268_REDTAE","","ALL_STATS","AC=-73;HP=1500;MP=100;STR=2;INT=-2;WIS=1;CON=-2;DEX=2;HIT=1;DAM=1;MDEF=30","SRC_NEXON_COMMUNITY_268","","https://lod.nexon.com/community/game/268?SearchBoard=1","V","2006","2026-09-18","UNMAPPED","적태극의 남/여"
"EV_NX268_BLACKTAE","","ALL_STATS","AC=-74;HP=1500;MP=500;STR=2;INT=-2;WIS=1;CON=-2;DEX=2;HIT=2;DAM=2;REGEN=1;MDEF=30","SRC_NEXON_COMMUNITY_268","","https://lod.nexon.com/community/game/268?SearchBoard=1","V","2006","2026-09-18","UNMAPPED","흑태극의 남/여"
"EV_NX7012_INVIS_CLOTH5","","ALL_STATS","AC=-3;HP=7153;MP=7153;HIT=5;DAM=5","SRC_NEXON_COMMUNITY_7012","","https://lod.nexon.com/community/game/7012?SearchBoard=1","V","2019","2026-09-18","UNMAPPED","무형의상 +5"
"EV_NX7012_INVIS_HAT5","","ALL_STATS","AC=-7;HP=7153;MP=7153;HIT=5;DAM=5","SRC_NEXON_COMMUNITY_7012","","https://lod.nexon.com/community/game/7012?SearchBoard=1","V","2019","2026-09-18","UNMAPPED","무형모자 +5"
"EV_NX7012_INVIS_SHOE5","","ALL_STATS","AC=-1;HP=2718;MP=2718;HIT=5;DAM=5;MOVE=10","SRC_NEXON_COMMUNITY_7012","","https://lod.nexon.com/community/game/7012?SearchBoard=1","V","2019","2026-09-18","UNMAPPED","무형신발 +5"
"EV_NX7012_INVIS_WPN5","","ALL_STATS","AC=-1;HP=7153;MP=7153;HIT=5;DAM=5","SRC_NEXON_COMMUNITY_7012","","https://lod.nexon.com/community/game/7012?SearchBoard=1","V","2019","2026-09-18","UNMAPPED","무형무기 +5"
"EV_NX5022_SQUASH","","ATTACK_S","750m800","SRC_NEXON_UPDATE_5022","","https://lod.nexon.com/News/update/5022","O","2023","2026-09-18","UNMAPPED","스쿼시더아이언 changed from 674m714"
"EV_NX5022_BLIND","","ATTACK_S","600m650","SRC_NEXON_UPDATE_5022","","https://lod.nexon.com/News/update/5022","O","2023","2026-09-18","UNMAPPED","블라인드아이즈"
