type,id,name,group,frame_index,sprite_name,b,w,h,px,py,sx,sy,webp
armor,mu0000058,루어스레더로브,01,0,mu000005801_0,mu000,19,28,0.5789,-0.7143,155,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_000.webp
armor,mu0000058,루어스레더로브,01,1,mu000005801_1,mu000,19,26,0.5263,-0.8077,376,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_001.webp
armor,mu0000058,루어스레더로브,01,2,mu000005801_2,mu000,23,26,0.4783,-0.8462,396,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_002.webp
armor,mu0000058,루어스레더로브,01,3,mu000005801_3,mu000,27,28,0.5185,-0.6786,175,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_003.webp
armor,mu0000058,루어스레더로브,01,4,mu000005801_4,mu000,19,25,0.5263,-0.92,593,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_004.webp
armor,mu0000058,루어스레더로브,01,5,mu000005801_5,mu000,19,26,0.5263,-0.8077,420,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_005.webp
armor,mu0000058,루어스레더로브,01,6,mu000005801_6,mu000,25,27,0.52,-0.7407,322,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_006.webp
armor,mu0000058,루어스레더로브,01,7,mu000005801_7,mu000,27,27,0.4815,-0.7037,348,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_007.webp
armor,mu0000058,루어스레더로브,01,8,mu000005801_8,mu000,21,24,0.4762,-0.9583,613,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_008.webp
armor,mu0000058,루어스레더로브,01,9,mu000005801_9,mu000,20,26,0.45,-0.7692,440,0,master/assets/animation_frames/armor/mu0000058/01/mu0000058_01_009.webp
armor,mu0000058,루어스레더로브,02,0,mu000005802_0,mu000,14,33,0.5714,-0.6061,124,0,master/assets/animation_frames/armor/mu0000058/02/mu0000058_02_000.webp
armor,mu0000058,루어스레더로브,02,1,mu000005802_1,mu000,19,22,0.1579,-1.2273,635,0,master/assets/animation_frames/armor/mu0000058/02/mu0000058_02_001.webp
armor,mu0000058,루어스레더로브,02,2,mu000005802_2,mu000,15,30,0.4,-0.7667,139,0,master/assets/animation_frames/armor/mu0000058/02/mu0000058_02_002.webp
armor,mu0000058,루어스레더로브,02,3,mu000005802_3,mu000,20,21,0.3,-1.0476,655,0,master/assets/animation_frames/armor/mu0000058/02/mu0000058_02_003.webp
armor,mu0000058,루어스레더로브,03,0,mu000005803_0,mu000,19,38,0.5789,-0.5526,46,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_000.webp
armor,mu0000058,루어스레더로브,03,1,mu000005803_1,mu000,20,39,0.45,-0.5641,25,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_001.webp
armor,mu0000058,루어스레더로브,03,2,mu000005803_2,mu000,21,28,0.5238,-0.7143,203,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_002.webp
armor,mu0000058,루어스레더로브,03,3,mu000005803_3,mu000,25,28,0.44,-0.7143,225,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_003.webp
armor,mu0000058,루어스레더로브,03,4,mu000005803_4,mu000,20,26,0.5,-0.8077,461,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_004.webp
armor,mu0000058,루어스레더로브,03,5,mu000005803_5,mu000,25,26,0.4,-0.8077,482,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_005.webp
armor,mu0000058,루어스레더로브,03,6,mu000005803_6,mu000,24,28,0.4583,-0.7143,251,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_006.webp
armor,mu0000058,루어스레더로브,03,7,mu000005803_7,mu000,26,28,0.4231,-0.7143,276,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_007.webp
armor,mu0000058,루어스레더로브,03,8,mu000005803_8,mu000,16,26,0.4375,-0.8077,508,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_008.webp
armor,mu0000058,루어스레더로브,03,9,mu000005803_9,mu000,17,26,0.4706,-0.8077,525,0,master/assets/animation_frames/armor/mu0000058/03/mu0000058_03_009.webp
armor,mu0000058,루어스레더로브,b,0,mu0000058b_0,mu000,18,28,0.4444,-0.7143,303,0,master/assets/animation_frames/armor/mu0000058/b/mu0000058_b_000.webp
armor,mu0000058,루어스레더로브,b,1,mu0000058b_1,mu000,24,42,0.5833,-0.4762,0,0,master/assets/animation_frames/armor/mu0000058/b/mu0000058_b_001.webp
armor,mu0000058,루어스레더로브,b,2,mu0000058b_2,mu000,32,36,0.25,-0.5556,91,0,master/assets/animation_frames/armor/mu0000058/b/mu0000058_b_002.webp
armor,mu0000058,루어스레더로브,b,3,mu0000058b_3,mu000,16,26,0.4375,-0.8077,543,0,master/assets/animation_frames/armor/mu0000058/b/mu0000058_b_003.webp
armor,mu0000058,루어스레더로브,b,4,mu0000058b_4,mu000,24,38,0.5833,-0.5526,66,0,master/assets/animation_frames/armor/mu0000058/b/mu0000058_b_004.webp
armor,mu0000058,루어스레더로브,b,5,mu0000058b_5,mu000,32,26,0.2188,-0.8077,560,0,master/assets/animation_frames/armor/mu0000058/b/mu0000058_b_005.webp
body,mm001,남자,01,0,mm00101_0,mm000,18,51,0.5,-0.1569,163,66,master/assets/animation_frames/body/mm001/01/mm001_01_000.webp
body,mm001,남자,01,1,mm00101_1,mm000,21,51,0.381,-0.1765,182,66,master/assets/animation_frames/body/mm001/01/mm001_01_001.webp
body,mm001,남자,01,2,mm00101_2,mm000,21,51,0.4286,-0.1569,204,66,master/assets/animation_frames/body/mm001/01/mm001_01_002.webp
body,mm001,남자,01,3,mm00101_3,mm000,27,52,0.4444,-0.1154,632,0,master/assets/animation_frames/body/mm001/01/mm001_01_003.webp
body,mm001,남자,01,4,mm00101_4,mm000,17,50,0.5294,-0.18,916,66,master/assets/animation_frames/body/mm001/01/mm001_01_004.webp
body,mm001,남자,01,5,mm00101_5,mm000,25,49,0.48,-0.1837,989,66,master/assets/animation_frames/body/mm001/01/mm001_01_005.webp
body,mm001,남자,01,6,mm00101_6,mm000,24,48,0.4583,-0.25,184,119,master/assets/animation_frames/body/mm001/01/mm001_01_006.webp
body,mm001,남자,01,7,mm00101_7,mm000,27,54,0.4444,-0.0926,187,0,master/assets/animation_frames/body/mm001/01/mm001_01_007.webp
body,mm001,남자,01,8,mm00101_8,mm000,18,51,0.5,-0.1765,226,66,master/assets/animation_frames/body/mm001/01/mm001_01_008.webp
