Map_ID,Canonical_Map,Primary_Source,Asset_ID,Runtime_Target,Coverage,Status,Notes,,,
MAP_MILLES,밀레스,구 마을맵 9장 게시물,MAP_OLD_TOWNS,map_milles,REFERENCE,SOURCE_FOUND,9장 중 밀레스 대응 이미지의 순서/내용 시각 식별 필요,,,
MAP_POTE_01,포테의숲 1~2존,2004 포테 스크린샷,MAP_POTE_SCREEN,map_pote_01,PARTIAL,DIRECT_URL_FOUND,맵 전체 타일셋이 아닌 실제 화면 reference,,,
MAP_POTE_02,포테의숲 3~4존,포테 공식/커뮤니티 자료,MAP_POTE_SCREEN,map_pote_02,PARTIAL,SOURCE_FOUND,추가 스크린샷 수집 필요,,,
MAP_MILLES_D10,밀레스 지하묘지,2024 묘지입구,MAP_MILLES_GRAVE_ENTRANCE,map_milles_dungeon,PARTIAL,DIRECT_URL_FOUND,입구 reference 확보; 내부 필요,,,
MAP_ABEL_COAST,아벨해안,사냥터/퀘스트 공식 게시물,,map_abel_coast,TEXT_ONLY,OPEN,이번 패스에서 신뢰 가능한 직접 이미지 미확보,,,
MAP_LYK_COAST,뤼케시온해안,사냥터/퀘스트 공식 게시물,,map_lyk_coast,TEXT_ONLY,OPEN,이번 패스에서 신뢰 가능한 직접 이미지 미확보,,,
MAP_HORROR,호러캐슬,2015 호러캐슬 스크린샷,MAP_HORROR_SCREEN,map_horror,PARTIAL,SOURCE_FOUND,실제 화면 존재 확인; 방별 원본 이미지 추가 수집 필요,,,
MAP_DEATH_FIELD,죽음의마을,2009 죽음의마을 게시물,MAP_DEATH_SCREEN,map_death_field,PARTIAL,SOURCE_FOUND,실제 화면 2장 존재,,,
MAP_DEATH_HOUSE,죽음의마을 집안,,,map_death_house,TEXT_ONLY,OPEN,"집털 구조는 검증, 이미지 추가 필요",,,
MAP_DEATH_UNDER,죽음의마을 지하,,,map_death_under,TEXT_ONLY,OPEN,"지하 구조는 검증, 이미지 추가 필요",,,
