id,name,name_status,type,gender,job_id,job_name,sprite_count,states,thumb_x,thumb_y,thumb_w,thumb_h,webp,stats_status,stats_source,stats_version,canonical_item_id,canonical_name,category,subcategory,canonical_job,circle,required_level,slot,attack_element,defense_element,effect_role,acquisition,source_id,confidence,merge_status,verified_status,verified_source_date,verified_source_url,verified_notes,verified_level_req,verified_AC,verified_STR,verified_INT,verified_WIS,verified_CON,verified_DEX,verified_HIT,verified_DAM,verified_magic_def_pct,verified_ability_req,verified_HP,verified_MP,verified_magic_def,verified_enhance_0_1,verified_enhance_1_2,verified_enhance_2_3,verified_enhance_3_4,verified_enhance_4_5,source_resolved_name,name_evidence_class,name_evidence_source,candidate_name,candidate_method,candidate_confidence,candidate_peer_ids,appearance_id,external_appearance_guide,external_visual_label,full_audit_status
mm001,남자,HAR_VERIFIED,body,,,,134,01|02|03|b|c|d|e|f,0,0,21,51,master/assets/items/body/mm001_남자.webp,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,남자,SOURCE_NAME_HAR,lod-dressup data/names.json or /api/names,,,,,,,,SOURCE_NAMED
wm001,여자,HAR_VERIFIED,body,,,,134,01|02|03|b|c|d|e|f,22,0,17,51,master/assets/items/body/wm001_여자.webp,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,여자,SOURCE_NAME_HAR,lod-dressup data/names.json or /api/names,,,,,,,,SOURCE_NAMED
mm001_skin1,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,0,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새하얀,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mm001_skin2,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,22,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,새까만,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mm001_skin3,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,44,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,오크,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mm001_skin4,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,66,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,황금색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mm001_skin5,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,88,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,구리빛,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mm001_skin6,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,110,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,회색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mm001_skin7,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,132,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,창백한,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
mm001_skin8,,UNRESOLVED,bodyskin,,,,134,01|02|03|b|c|d|e|f,154,0,21,51,,UNVERIFIED,,,,,,,,,,,,,,,,,NO_CANONICAL_NAME_MATCH,,,,,,,,,,,,,,,,,,,,,,,,붉은색,SOURCE_APPEARANCE_COLOR,lod-dressup data/skin-colors.json,,,,,,,,SOURCE_NAMED
