Zone,Monster_Name,Runtime_Asset_ID,Source_Page,Image_Status,Mapping_Status,Evidence,Notes,,,
포테,레드팜팻,mon_포테_레드팜팻,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,그린팜팻,mon_포테_그린팜팻,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,퍼플팜팻,mon_포테_퍼플팜팻,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,실버팜팻,mon_포테_실버팜팻,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,트렌트,mon_포테_트렌트,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,앤트라이온,mon_포테_앤트라이온,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,놀,mon_포테_놀,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,울프라이더,mon_포테_울프라이더,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,라이칸스로프,mon_포테_라이칸스로프,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,앤트자이언트,mon_포테_앤트자이언트,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,은빛늑대,mon_포테_은빛늑대,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,강력한놀,mon_포테_강력한놀,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,강력한울프라이더,mon_포테_강력한울프라이더,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,강력한트렌트,mon_포테_강력한트렌트,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,포테의정령,mon_포테_포테의정령,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
포테,자이언트맨티스,mon_포테_자이언트맨티스,https://lod.nexon.com/Community/screenshot/121538?Category2=2,ZONE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,포테 실제 장면 source 확보. 개별 몬스터 sprite 식별은 후속.,,,
아벨,터틀,mon_아벨_터틀,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
아벨,그래브,mon_아벨_그래브,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
아벨,퐁퐁이,mon_아벨_퐁퐁이,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
아벨,크랩,mon_아벨_크랩,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
아벨,해안의광폭자,mon_아벨_해안의광폭자,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
아벨,킹아크퍼스,mon_아벨_킹아크퍼스,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
뤼케,블루하콘,mon_뤼케_블루하콘,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
뤼케,레드하콘,mon_뤼케_레드하콘,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
뤼케,카카포,mon_뤼케_카카포,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
뤼케,포이즌카카포,mon_뤼케_포이즌카카포,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
뤼케,해안의폭군,mon_뤼케_해안의폭군,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
뤼케,에리얼,mon_뤼케_에리얼,,OPEN,REFERENCE_PENDING,V/U+B,공식 텍스트 존재; 개별 원본 스프라이트/명확한 스크린샷 crop은 아직 미확보. 대체 이미지 사용 금지.,,,
호러,남자전사,mon_호러_남자전사,https://lod.nexon.com/Community/screenshot/134341?Category2=2,SCENE_SOURCE_FOUND,REFERENCE_PENDING,V/U+B,호러 실제 장면 source 확보. 10종 각각의 개별 식별/crop은 후속 시각검증 필요.,,,
