Check,Value,Status,설명,,,,,,,,,,,,,,,,
Jobs modeled,5,PASS,전사/도적/마법사/성직자/무도가,,,,,,,,,,,,,,,,
Lv99→Promotion target,35h each,PASS,직업별 체마 구성은 다르지만 gross EXP 목표는 동일,,,,,,,,,,,,,,,,
Promotion held EXP,"250,000,000",PASS,5직업 공통,,,,,,,,,,,,,,,,
Classic stat points to cap,534 each,PASS,놀랍게도 5직업 모두 동일하게 534포인트,,,,,,,,,,,,,,,,
HP consumed for all-stat max,"160,200 each",PASS,300 HP × 534,,,,,,,,,,,,,,,,
STAT MAX target,120h each,PASS,Death Village 24m EXP/h 기준,,,,,,,,,,,,,,,,
STAT MAX hard floor,>100h,PASS,사용자 요구 반영,,,,,,,,,,,,,,,,
Post-STAT growth,HP/MP endless,LOCK,필살기 자원과 직접 연결,,,,,,,,,,,,,,,,
Exact Lv99 HP/MP,not recovered,OPEN,직업/포인트 순서에 따라 달라져 임의 원본값으로 고정하지 않음,,,,,,,,,,,,,,,,
1차 cap era mapping,classic candidate,V+B,현대 가이드의 2차직업 표 + 구 현자 승급 상한 언급을 PROJECT DARK 1차 장기상한으로 채택,,,,,,,,,,,,,,,,
