Check,Result,Status,설명,,,,,,,,
Horror encounter time,41.86 sec,PASS,86 kills/h와 일치,,,,,,,,
Horror active combat time,23.02 sec,PASS,encounter의 55%를 실제 타격시간으로 가정,,,,,,,,
Horror required solo-equivalent DPS,"~4,779",PASS,110k / 23.02s,,,,,,,,
Death encounter time,45 sec,PASS,80 kills/h와 일치,,,,,,,,
Death active combat time,27 sec,PASS,encounter의 60%,,,,,,,,
Death required party DPS,"~7,407 total",PASS,200k / 27s,,,,,,,,
Daram formula,(HP+MP-1440)*3.38,VERIFIED,2009 현자 실험자료,,,,,,,,
Assassination formula,HP*0.6336 / crit HP*1.69,VERIFIED,2009 현자 실험자료,,,,,,,,
Crasher coefficient,3.38 runtime / 6x historical alternate,OPEN_LOCK,시대/조건별 자료 충돌. PROJECT DARK는 실험자료 3.38을 초기값으로 채택,,,,,,,,
Wizard exact ultimate coefficient,unknown,OPEN,라그나로크 MP 동작은 확인됐으나 정확 데미지 공식 미확정,,,,,,,,
Combat principle,encounter-time first,LOCK,킬타임에는 방 이동/몰이/속성판별/회복/루팅을 포함,,,,,,,,
AUTO,same combat math,LOCK,AUTO에 별도 데미지 보너스 없음,,,,,,,,
