Parameter,Value,Unit,Evidence,Source_URL,설명,,,,,,
HORROR_HP_AVG,110000,HP,U,,사용자 기억 8~14만의 중앙값,,,,,,
HORROR_EXP_AVG,175000,EXP,U+B,,사용자 기억 15~20만의 중앙값,,,,,,
HORROR_TARGET_KPH,86,kills/h,B,,35h 승급 목표와 연결,,,,,,
HORROR_TARGET_SEC_PER_KILL,41.86,sec/kill,B,,3600/86,,,,,,
DEATH_HP_AVG,200000,HP,U+B,,사용자 기억 약 20만,,,,,,
DEATH_EXP_AVG,300000,EXP,B,,v3.7 초기 밸런스,,,,,,
DEATH_TARGET_KPH,80,kills/h,B,,120h STAT MAX 목표와 연결,,,,,,
DEATH_TARGET_SEC_PER_KILL,45,sec/kill,B,,3600/80,,,,,,
DARAMIL_CLASSIC_COEF,3.38,x,V,https://lod.nexon.com/community/game/4646?SearchBoard=1,AC0/노나르 속공 기준 (HP+MP-1440)*3.38,,,,,,
ASSASSIN_NORMAL_COEF,0.6336,x HP,V,https://lod.nexon.com/community/game/4644?SearchBoard=1,AC0/노나르 속공,,,,,,
ASSASSIN_CRIT_COEF,1.69,x HP,V,https://lod.nexon.com/community/game/4644?SearchBoard=1,크리티컬,,,,,,
MADSOUL_HP_REMAIN,0.1,ratio,V,https://lod.nexon.com/community/game/7220?SearchBoard=1,사용 후 10% HP 잔존,,,,,,
MADSOULJIN_HP_REMAIN,0.05,ratio,V,https://lod.nexon.com/community/game/7220?SearchBoard=1,사용 후 5% HP 잔존,,,,,,
CRASHER_USE_HP_THRESHOLD_CLASSIC,0.02,ratio,V,https://lod.nexon.com/community/game/1329?SearchBoard=1,구 자료: 체력 2% 이하 시전조건,,,,,,
CRASHER_DAMAGE_CANDIDATE,3.38,x HP,V,https://lod.nexon.com/community/game/4460?SearchBoard=1,"2009 실험: AC0, 마력1440에서 다라밀공과 동일",,,,,,
CRASHER_ALT_GUIDE,6,x HP,V,https://lod.nexon.com/community/game/1429?SearchBoard=1,"2005 팁. 시대/조건 차이 존재, 런타임 확정값 아님",,,,,,
CRASHER_RUNTIME_COEF,3.38,x HP,B+V,,PROJECT DARK 초기값: 실험자료 우선,,,,,,
BASIC_ATTACK_CYCLE,1.2,sec,B,,기본 공격 1회 주기 초기값,,,,,,
SKILL_GCD,1,sec,B,,모바일 전투 리듬 초기값,,,,,,
HUNT_ACTIVE_COMBAT_SHARE,0.55,ratio,B,,방 이동/몰이/속성/루팅을 제외한 실제 타격시간 비중,,,,,,
