검증항목,판정,해결,설계 메모,,,,,,,,,,,,,,,,,,,,,,
레벨 1~10 사냥터,PASS,밀레스 지하묘지로 해결,초기 장비/포션/퀘스트와 연결,,,,,,,,,,,,,,,,,,,,,,
Lv11 진입장비,PASS,2써클 직업의상 + 가죽장비 + 첫 속성장비,포테 진입 전 상점/보상,,,,,,,,,,,,,,,,,,,,,,
Lv20~40 성장,PASS,포테 심부 + 퀘스트/재료/희귀반지,3써클 선수숙련 확보,,,,,,,,,,,,,,,,,,,,,,
Lv41 진입장비,PASS,3써클 의상/동장갑·각반/철방패,아벨에서 상점+드롭 혼합,,,,,,,,,,,,,,,,,,,,,,
Lv56~70 파밍,PASS,아벨 상위 드롭 + 킹아크퍼스,4써클 진입자금 확보,,,,,,,,,,,,,,,,,,,,,,
Lv71 진입장비,PASS,4써클 의상/은장비/금제방패,뤼케시온 진입 즉시 구매 가능,,,,,,,,,,,,,,,,,,,,,,
Lv86~98 파밍,PASS,상위 장비/에리얼/파파야방패,지존 준비,,,,,,,,,,,,,,,,,,,,,,
Lv99 콘텐츠,PASS,호러캐슬 100 Gold,필수기 숙련과 체마 성장,,,,,,,,,,,,,,,,,,,,,,
순수 루트,PASS,Lv99에서 승급 준비 직행,순수승급 강화스킬 보상,,,,,,,,,,,,,,,,,,,,,,
전직 루트,PASS_WITH_ADAPT,Lv1 리셋 후 동일 5마을 2회차,기존스킬 유지 + EXP×2로 반복 피로 완화,,,,,,,,,,,,,,,,,,,,,,
승급 재료경제,PASS,이동석/문열쇠/직업별 제물,드롭→거래→소모,,,,,,,,,,,,,,,,,,,,,,
속성 순환,PASS,목걸이=공격/벨트=방어,2써클부터 프리셋 확대,,,,,,,,,,,,,,,,,,,,,,
골드 생성,PASS,일반 잡템 NPC 판매,사냥 자체가 지속가능하도록 설계,,,,,,,,,,,,,,,,,,,,,,
골드 소각,PASS,포션/장비/스킬습득/호러100/서비스,과도한 입장료 제거,,,,,,,,,,,,,,,,,,,,,,
타 마을 의존성,PASS_AFTER_LOCK,수오미/루어스/운디네 등 판매품을 5개 활성마을 상점으로 재배치,월드 확장 없이 아이템 공급 끊김 제거,,,,,,,,,,,,,,,,,,,,,,
