공격속성,방어속성,상대효율,배율,근거상태,,,,,,,,,,,,,,,,,,,,,
수,화,우세,1.50,BALANCED,,,,,,,,,,,,,,,,,,,,,
화,풍,우세,1.50,BALANCED,,,,,,,,,,,,,,,,,,,,,
풍,토,우세,1.50,BALANCED,,,,,,,,,,,,,,,,,,,,,
토,수,우세,1.50,BALANCED,,,,,,,,,,,,,,,,,,,,,
수,수,동속,0.75,BALANCED,,,,,,,,,,,,,,,,,,,,,
화,화,동속,0.75,BALANCED,,,,,,,,,,,,,,,,,,,,,
풍,풍,동속,0.75,BALANCED,,,,,,,,,,,,,,,,,,,,,
토,토,동속,0.75,BALANCED,,,,,,,,,,,,,,,,,,,,,
생명,암흑,특수 우세,1.75,BALANCED,,,,,,,,,,,,,,,,,,,,,
암흑,생명,특수 우세,1.75,BALANCED,,,,,,,,,,,,,,,,,,,,,
무속성,전체,중립,1.00,DESIGN,,,,,,,,,,,,,,,,,,,,,
