Resource,Current_Amount,Purchase_Unit,EXP_Cost,Formula_Tag,Horror_Kills_at_175k,Death_Kills_at_300k,Evidence,설명,
HP,5000,100,540000,400k*(1+HP/20k)^1.35,3.09,1.8,B,+100 HP 비용. 고체력일수록 가속,
HP,10000,100,690000,400k*(1+HP/20k)^1.35,3.94,2.3,B,+100 HP 비용. 고체력일수록 가속,
HP,15000,100,850000,400k*(1+HP/20k)^1.35,4.86,2.83,B,+100 HP 비용. 고체력일수록 가속,
HP,20000,100,1020000,400k*(1+HP/20k)^1.35,5.83,3.4,B,+100 HP 비용. 고체력일수록 가속,
HP,25000,100,1200000,400k*(1+HP/20k)^1.35,6.86,4,B,+100 HP 비용. 고체력일수록 가속,
HP,30000,100,1380000,400k*(1+HP/20k)^1.35,7.89,4.6,B,+100 HP 비용. 고체력일수록 가속,
HP,35000,100,1570000,400k*(1+HP/20k)^1.35,8.97,5.23,B,+100 HP 비용. 고체력일수록 가속,
HP,40000,100,1760000,400k*(1+HP/20k)^1.35,10.06,5.87,B,+100 HP 비용. 고체력일수록 가속,
HP,45000,100,1960000,400k*(1+HP/20k)^1.35,11.2,6.53,B,+100 HP 비용. 고체력일수록 가속,
HP,50000,100,2170000,400k*(1+HP/20k)^1.35,12.4,7.23,B,+100 HP 비용. 고체력일수록 가속,
HP,55000,100,2380000,400k*(1+HP/20k)^1.35,13.6,7.93,B,+100 HP 비용. 고체력일수록 가속,
HP,60000,100,2600000,400k*(1+HP/20k)^1.35,14.86,8.67,B,+100 HP 비용. 고체력일수록 가속,
HP,65000,100,2820000,400k*(1+HP/20k)^1.35,16.11,9.4,B,+100 HP 비용. 고체력일수록 가속,
HP,70000,100,3050000,400k*(1+HP/20k)^1.35,17.43,10.17,B,+100 HP 비용. 고체력일수록 가속,
HP,75000,100,3280000,400k*(1+HP/20k)^1.35,18.74,10.93,B,+100 HP 비용. 고체력일수록 가속,
HP,80000,100,3510000,400k*(1+HP/20k)^1.35,20.06,11.7,B,+100 HP 비용. 고체력일수록 가속,
HP,85000,100,3750000,400k*(1+HP/20k)^1.35,21.43,12.5,B,+100 HP 비용. 고체력일수록 가속,
HP,90000,100,4000000,400k*(1+HP/20k)^1.35,22.86,13.33,B,+100 HP 비용. 고체력일수록 가속,
HP,95000,100,4240000,400k*(1+HP/20k)^1.35,24.23,14.13,B,+100 HP 비용. 고체력일수록 가속,
HP,100000,100,4490000,400k*(1+HP/20k)^1.35,25.66,14.97,B,+100 HP 비용. 고체력일수록 가속,
MP,2500,50,760000,550k*(1+MP/10k)^1.45,4.34,2.53,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,5000,50,990000,550k*(1+MP/10k)^1.45,5.66,3.3,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,7500,50,1240000,550k*(1+MP/10k)^1.45,7.09,4.13,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,10000,50,1500000,550k*(1+MP/10k)^1.45,8.57,5,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,12500,50,1780000,550k*(1+MP/10k)^1.45,10.17,5.93,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,15000,50,2080000,550k*(1+MP/10k)^1.45,11.89,6.93,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,17500,50,2380000,550k*(1+MP/10k)^1.45,13.6,7.93,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,20000,50,2710000,550k*(1+MP/10k)^1.45,15.49,9.03,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,22500,50,3040000,550k*(1+MP/10k)^1.45,17.37,10.13,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,25000,50,3380000,550k*(1+MP/10k)^1.45,19.31,11.27,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,27500,50,3740000,550k*(1+MP/10k)^1.45,21.37,12.47,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,30000,50,4110000,550k*(1+MP/10k)^1.45,23.49,13.7,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,32500,50,4480000,550k*(1+MP/10k)^1.45,25.6,14.93,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,35000,50,4870000,550k*(1+MP/10k)^1.45,27.83,16.23,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,37500,50,5270000,550k*(1+MP/10k)^1.45,30.11,17.57,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,40000,50,5670000,550k*(1+MP/10k)^1.45,32.4,18.9,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,42500,50,6090000,550k*(1+MP/10k)^1.45,34.8,20.3,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,45000,50,6510000,550k*(1+MP/10k)^1.45,37.2,21.7,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,47500,50,6950000,550k*(1+MP/10k)^1.45,39.71,23.17,B,+50 MP 비용. 마법계 필살기 가치 반영,
MP,50000,50,7390000,550k*(1+MP/10k)^1.45,42.23,24.63,B,+50 MP 비용. 마법계 필살기 가치 반영,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
