Monster,HP,EXP_Formula,EXP_Final,EXP_per_HP,Attack_Element,Defense_Element,Evidence,설명,
남자전사,120000,183333.333296,183000,1.525,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
여자전사,125000,187499.9999625,187000,1.496,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
남자도적,85000,154166.6666305,154000,1.811764705882353,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
여자도적,90000,158333.333297,158000,1.7555555555555555,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
남자마법사,100000,166666.66663,167000,1.67,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
여자마법사,105000,170833.3332965,171000,1.6285714285714286,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
남자성직자,110000,174999.999963,175000,1.5909090909090908,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
여자성직자,115000,179166.6666295,179000,1.5565217391304347,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
남자무도가,80000,149999.99996400002,150000,1.875,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
여자무도가,140000,199999.999962,200000,1.4285714285714286,랜덤 4속성,랜덤 4속성,U+B,"15만@8만HP, 20만@14만HP를 선형보간",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
