Item_ID,아이템명,대분류,세부분류,직업,써클,요구Lv,슬롯,공격속성,방어속성,효과/역할,획득처,NPC판매,유저거래,Source_ID,신뢰도,비고,,,,,,,,,
IT_GLOVE_LEATHER,가죽장갑,장비,장갑,공통,2,11,장갑,,,기본 장갑,밀레스 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_LEGGING_LEATHER,가죽각반,장비,각반,공통,2,11,각반,,,기본 각반,밀레스 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHOES,신발,장비,신발,공통,2,11,신발,,,2써클 기본 신발,상점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_SHOES_GRAY,회색신발,장비,신발,공통,2,26,신발,,,2써클 상위 신발,상점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_GLOVE_COPPER,동장갑,장비,장갑,공통,3,41,장갑,,,3써클 장갑,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_LEGGING_COPPER,동각반,장비,각반,공통,3,41,각반,,,3써클 각반,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BOOTS_GREEN,녹색신발,장비,신발,공통,3,41,신발,,,3써클 신발,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BOOTS_LEATHER,레더부츠,장비,신발,공통,3,56,신발,,,3써클 상위 신발,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_GLOVE_AQUA,아쿠아글러브,장비,장갑,공통,3,51,장갑,,,3써클 상위 장갑,아벨해안 던전,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_LEGGING_CORAL,산호각반,장비,각반,공통,3,51,각반,,,3써클 상위 각반,아벨해안 던전,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_GLOVE_SILVER,은장갑,장비,장갑,공통,4,71,장갑,,,4써클 장갑,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_LEGGING_SILVER,은각반,장비,각반,공통,4,71,각반,,,4써클 각반,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_GLOVE_AQUALEATHER,아쿠아레더글러브,장비,장갑,공통,4,81,장갑,,,4써클 상위 장갑,드롭/거래,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_LEGGING_AQUA,아쿠아각반,장비,각반,공통,4,81,각반,,,4써클 상위 각반,드롭/거래,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BOOTS_VIOLET,바이올렛티,장비,신발,공통,4,71,신발,,,4써클 신발,상점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_BOOTS_MAGMA,마그마부츠,장비,신발,공통,4,86,신발,,,4써클 상위 신발,상점/드롭,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_EARRING_DOUBLE_SILVER,쌍은귀걸이,장비,귀걸이,전사/도적/무도가,2,11,귀걸이,,,저레벨 물리직 귀걸이,레벨업/상점,가능,가능,SRC_ROGUE_REWARD,SOURCE,,,,,,,,,,
IT_EARRING_DOUBLE_GOLD,쌍금귀걸이,장비,귀걸이,전사/도적/무도가,2,26,귀걸이,,,물리직 대표 귀걸이,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_EARRING_CORAL,산호귀걸이,장비,귀걸이,마법사/성직자,2,25,귀걸이,,,마법직 대표 귀걸이,수오미 무기점,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_EARRING_CORALSTONE,산호석귀걸이,장비,귀걸이,전사/도적/무도가,3,50,귀걸이,,,중레벨 물리직 귀걸이,보상/거래,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_EARRING_REDMARINE,레드마린귀걸이,장비,귀걸이,마법사/성직자,4,81,귀걸이,,,4써클 마법직 귀걸이,보상/거래,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
IT_RING_REDJADE,홍옥반지,장비,반지,공통,2,11,반지,,,2써클 반지,보상/상점,가능,가능,SRC_WARRIOR_REWARD,SOURCE,,,,,,,,,,
IT_RING_GREENJADE,녹옥반지,장비,반지,공통,2,17,반지,,,대표 범용 반지,루어스성,가능,가능,SRC_GEAR_GUIDE,SOURCE,,,,,,,,,,
