Endpoint_ID,Source_Page,Image_No,URL_or_OID,Fetch_Status,Reason,Preserve_For_Build,,,
OLDTOWN_01,https://lod.nexon.com/Community/screenshot/136184?Category2=2,1,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767924,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_02,https://lod.nexon.com/Community/screenshot/136184?Category2=2,2,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767925,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_03,https://lod.nexon.com/Community/screenshot/136184?Category2=2,3,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767926,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_04,https://lod.nexon.com/Community/screenshot/136184?Category2=2,4,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767927,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_05,https://lod.nexon.com/Community/screenshot/136184?Category2=2,5,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767928,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_06,https://lod.nexon.com/Community/screenshot/136184?Category2=2,6,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767929,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_07,https://lod.nexon.com/Community/screenshot/136184?Category2=2,7,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767930,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_08,https://lod.nexon.com/Community/screenshot/136184?Category2=2,8,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767931,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
OLDTOWN_09,https://lod.nexon.com/Community/screenshot/136184?Category2=2,9,https://file.nexon.com/NxFile/download/FileDownloader.aspx?oidFile=5053116125680767934,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
DEATH_01,https://lod.nexon.com/News/notice/129289,1,https://file.nexon.com/Isolation/File/Download/FileDownloader.aspx?oidFile=3611966070283309013,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
DEATH_02,https://lod.nexon.com/News/notice/129289,2,https://file.nexon.com/Isolation/File/Download/FileDownloader.aspx?oidFile=3611966070283309014,CACHE_MISS_IN_TOOL,legacy file endpoint not fetchable by current web cache,YES,,,
POTE_01,https://lod.nexon.com/Community/screenshot/121538?Category2=2,1,https://storage.nexon.com/Data01/GnxFile/004/100/000/00/07/18016979784834580.bmp,URL_EXTRACTED_CACHE_MISS,direct storage URL identified; tool cache miss,YES,,,
