Current_Lv,Next_Lv,Segment,Required_EXP,Cumulative_EXP,Segment_Target_Cum,Growth_Rate,Primary_Hunting,Evidence,
1,2,S1,10000,10000,300000,1.2849256127788244,밀레스/초반,B,
2,3,S1,12800,22800,300000,1.2849256127788244,밀레스/초반,B,
3,4,S1,16500,39300,300000,1.2849256127788244,밀레스/초반,B,
4,5,S1,21200,60500,300000,1.2849256127788244,밀레스/초반,B,
5,6,S1,27300,87800,300000,1.2849256127788244,밀레스/초반,B,
6,7,S1,35000,122800,300000,1.2849256127788244,밀레스/초반,B,
7,8,S1,45000,167800,300000,1.2849256127788244,밀레스/초반,B,
8,9,S1,57800,225600,300000,1.2849256127788244,밀레스/초반,B,
9,10,S1,74400,300000,300000,1.2849256127788244,밀레스/초반,B,
10,11,S2,78000,378000,9000000,1.0791382530267382,포테의숲,B,
11,12,S2,84200,462200,9000000,1.0791382530267382,포테의숲,B,
12,13,S2,90900,553100,9000000,1.0791382530267382,포테의숲,B,
13,14,S2,98000,651100,9000000,1.0791382530267382,포테의숲,B,
14,15,S2,105800,756900,9000000,1.0791382530267382,포테의숲,B,
15,16,S2,114200,871100,9000000,1.0791382530267382,포테의숲,B,
16,17,S2,123200,994300,9000000,1.0791382530267382,포테의숲,B,
17,18,S2,133000,1127300,9000000,1.0791382530267382,포테의숲,B,
18,19,S2,143500,1270800,9000000,1.0791382530267382,포테의숲,B,
19,20,S2,154800,1425600,9000000,1.0791382530267382,포테의숲,B,
20,21,S2,167100,1592700,9000000,1.0791382530267382,포테의숲,B,
21,22,S2,180300,1773000,9000000,1.0791382530267382,포테의숲,B,
22,23,S2,194600,1967600,9000000,1.0791382530267382,포테의숲,B,
23,24,S2,210000,2177600,9000000,1.0791382530267382,포테의숲,B,
24,25,S2,226600,2404200,9000000,1.0791382530267382,포테의숲,B,
25,26,S2,244600,2648800,9000000,1.0791382530267382,포테의숲,B,
26,27,S2,263900,2912700,9000000,1.0791382530267382,포테의숲,B,
27,28,S2,284800,3197500,9000000,1.0791382530267382,포테의숲,B,
28,29,S2,307300,3504800,9000000,1.0791382530267382,포테의숲,B,
29,30,S2,331600,3836400,9000000,1.0791382530267382,포테의숲,B,
30,31,S2,357900,4194300,9000000,1.0791382530267382,포테의숲,B,
31,32,S2,386200,4580500,9000000,1.0791382530267382,포테의숲,B,
32,33,S2,416800,4997300,9000000,1.0791382530267382,포테의숲,B,
33,34,S2,449800,5447100,9000000,1.0791382530267382,포테의숲,B,
34,35,S2,485400,5932500,9000000,1.0791382530267382,포테의숲,B,
35,36,S2,523800,6456300,9000000,1.0791382530267382,포테의숲,B,
36,37,S2,565200,7021500,9000000,1.0791382530267382,포테의숲,B,
37,38,S2,610000,7631500,9000000,1.0791382530267382,포테의숲,B,
38,39,S2,658200,8289700,9000000,1.0791382530267382,포테의숲,B,
39,40,S2,710300,9000000,9000000,1.0791382530267382,포테의숲,B,
