Location_ID,마을,유형,명칭,X,Y,기능,상태,비고,,,,,,,,,,,,,,,,,
LOC_MILLES_CASTLE,밀레스,시설,밀레스성,118,50,밀레스성 입구,ORIGINAL,쉐폰/유론 관련,,,,,,,,,,,,,,,,,
LOC_MILLES_SEA,밀레스,사냥터,밀레스 해저던전,118,82,해저던전 입구,ORIGINAL,산호각반/실버아쿠아링/산호석귀걸이/아쿠아글러브 등,,,,,,,,,,,,,,,,,
LOC_MILLES_ALTAR,밀레스,퀘스트,밀레스 제단,103,11,킹아크퍼스 후속 절차,ORIGINAL,"103,11 또는 104,11",,,,,,,,,,,,,,,,,
LOC_MILLES_ROSEMARY,밀레스,NPC,로즈마리,81,43,퀘스트 NPC,ORIGINAL,모디아/아이리스 관련,,,,,,,,,,,,,,,,,
LOC_MILLES_MODIA,밀레스,NPC,모디아,78,28,퀘스트 NPC,ORIGINAL,모디아의 사랑,,,,,,,,,,,,,,,,,
LOC_MILLES_TELLIDOAH,밀레스,NPC,텔리도아,58,105,독거미 퀘스트,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_PIET_POTE,피에트,사냥터,포테의숲,0,50,2써클 사냥터 입구,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_PIET_INN,피에트,시설,피에트 여관,70,27,여관,ORIGINAL,주인 티나,,,,,,,,,,,,,,,,,
LOC_PIET_TEIMA,피에트,NPC,테이마,96,72,독거미 퀘스트,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_PIET_RECOVERY,피에트,NPC,전직기술마법복구도우미,45,83,기술/마법 복구,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_ABEL_COAST,아벨,사냥터,아벨해안던전,56,7,3써클 사냥터 입구,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_ABEL_BANK,아벨,시설,아벨 은행,98,89,은행/보관,ORIGINAL,킹아크퍼스 퀘스트 레토,,,,,,,,,,,,,,,,,
LOC_ABEL_INN,아벨,시설,아벨 여관,16,23,여관,ORIGINAL,토미,,,,,,,,,,,,,,,,,
LOC_ABEL_DYLAN,아벨,NPC,딜란,16,18,킹아크퍼스 퀘스트,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_RUC_COAST,뤼케시온,사냥터,뤼케시온해안던전,78,10,4써클 사냥터 입구,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_RUC_INN,뤼케시온,시설,뤼케시온 여관,37,44,여관,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_RUC_CHERRY,뤼케시온,NPC,체리,40,15,4써클 의상 판매 위치,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_RUC_HUCHI,뤼케시온,NPC,후치,9,8,퀘스트 NPC,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_RUC_NUDA,뤼케시온,NPC,누다,16,58,해안가 괴물/에리얼 정보,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_MINE_HORROR1,마인,이동,백원만,7,6,호러캐슬 이동,ORIGINAL,모바일판 입장료 100 Gold [ADAPTED] / 원작 구자료 10만전,,,,,,,,,,,,,,,,,
LOC_MINE_HORROR2,마인,이동,죽음의마을 호러캐슬 NPC,10,1,호러캐슬 이동,ORIGINAL,,,,,,,,,,,,,,,,,,
LOC_MINE_INN,마인,시설,마인 여관,58,43,여관,ORIGINAL,리마라,,,,,,,,,,,,,,,,,
LOC_MINE_SUPERVISOR,마인,NPC,광산감독관,86,26,광산 관련,ORIGINAL,,,,,,,,,,,,,,,,,,
