PROJECT DARK Master DB v3.0,Canonical integration workbook,,,,,,,,,,,,,,,,,,,,,,,,
판본,v3.0 / 2026-09-09,,,,,,,,,,,,,,,,,,,,,,,,
프로젝트 범위,평민 → 5개 기본직업 → Lv99 → 전직 OR 순수직업 → Lv99 → 1차 승급,,,,,,,,,,,,,,,,,,,,,,,,
원칙,원작 이름/역할/조건 우선. 미확정 수치는 비워두고 추정치를 정식 값으로 승격하지 않는다.,,,,,,,,,,,,,,,,,,,,,,,,
근거 태그,"O=공식, V=검증된 구 공식/커뮤니티 자료, B=밸런스 복원, ADAPTED=모바일 변경",,,,,,,,,,,,,,,,,,,,,,,,
현재 핵심 시트,Skill_Master / Skill_Requirements / Monster_Master / Spawn_Master / Item_Master / Progression_Master / Quest_Placement / World_Master / AUTO_Rules,,,,,,,,,,,,,,,,,,,,,,,,
Skill_Master 상태,"184개 스킬명 복구 완료. 단, 개별 요구Lv/요구스탯/재료/Gold/숙련 조건은 원본 근거가 없는 항목을 비워둠.",,,,,,,,,,,,,,,,,,,,,,,,
Monster_Master 상태,22개 이름 복구. 과거 통합 DB 29개 기억치와 차이가 있어 미복구 항목은 Coverage_Audit에 표시.,,,,,,,,,,,,,,,,,,,,,,,,
금지,근거 없는 스킬 비용/요구스탯/몬스터 수치/드롭률/속성 배율을 임의 생성하지 않는다.,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Slice,VS01 = 밀레스: 생성→평민→NPC→원작 퀘스트→사냥→드롭→성장→사망/유령/부활→저장/재개,,,,,,,,,,,,,,,,,,,,,,,,
AUTO,"SYS49 독립 시스템. 수동 우선, 약 1.2초 후 재개, 2초 막힘 재탐색, 3회 실패 정지.",,,,,,,,,,,,,,,,,,,,,,,,
호러캐슬,입장료 100 Gold [ADAPTED],,,,,,,,,,,,,,,,,,,,,,,,
주의,이 파일을 이후 PROJECT DARK 콘텐츠/규칙 데이터의 기준본(Source of Truth)으로 사용.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
