Map_ID,Map_Name,Type,Entry_From,Entry_Rule,Structure,Spawn/Room Rule,Clear/Exit,Mobile_Runtime_Rule,Evidence,,
MAP_MILLES,밀레스,Town,캐릭터 시작,항상,원작 타일/좌표 기반 허브,NPC/서비스 중심,월드 이동,탭 이동+4방향 조이스틱,O+B,,
MAP_POTE_01,포테의숲 1~2존,Field,피에트,권장 Lv10+,연결형 필드,퍼플/실버팜팻 중심,다음 존 이동,AUTO 탐색 허용,V+B,,
MAP_POTE_02,포테의숲 3~4존,Field,포테 1~2,권장 Lv20+,연결형 필드,울프라이더/앤트자이언트/강력몹,포테의정령 조건,AUTO 탐색 허용,V+B,,
MAP_MILLES_D10,밀레스 지하묘지 10~12층,Dungeon,밀레스 던전,퀘스트/레벨,다층 던전,해골지네/보물상자/암흑소환석,계단/귀환,상자 탭 상호작용,V,,
MAP_MILLES_D13,밀레스 지하묘지 13~17층,Dungeon,10~12층,퀘스트 진행,다층 던전,튼튼한 보물상자,귀환,도적 상자 혜택 보존,V,,
MAP_ABEL_COAST,아벨해안,Dungeon,아벨,3서클,해안 던전,터틀/그래브/퐁퐁이/크랩,킹아크퍼스 방,파티 경로탐색,V+B,,
MAP_LYK_COAST,뤼케시온해안,Dungeon,뤼케시온,4서클,해안 던전,"블루/레드하콘, 카카포류",3-D 에리얼,5직업 파티 조건 표시,V+B,,
MAP_HORROR,호러캐슬,RandomRoomDungeon,마인/죽대,Lv99 + 100 Gold,10개 이상 테마방 pool,10직업형 몬스터 랜덤조합; 속성 랜덤,전멸→다음 랜덤방,방 클리어 AUTO 연속,U+B,,
MAP_DEATH_FIELD,죽음의마을 필드,Field,죽대,승급 전후,마을형 필드,약한 좀비 중심,집안/지하 진입,이동/퀘스트 비중,U+V,,
MAP_DEATH_HOUSE,죽음의마을 집안(집털),PartyDungeon,죽음의마을1,승급 권장,여러 집 인스턴스,"니크르 중심, 15~22만 원자료; 프로젝트 약20만",집 단위 반복,몰이형 AUTO,U+V+B,,
MAP_DEATH_UNDER,죽음의마을 지하/죽던,PartyDungeon,죽음의마을,승급 권장,다층/지하,머미 등 고HP/MDEF,층 반복,광역 파티 AUTO,U+V+B,,
