몬스터/그룹,지역,드롭 아이템,드롭구분,드롭률,소유방식,경제적 용도,근거상태,,,,,,,,,,,,,,,,,,
은빛늑대,포테의숲,일반 잡템,Common,높음 [BALANCED],바닥,NPC 판매로 골드화,BALANCED,,,,,,,,,,,,,,,,,,
자이언트맨티스,포테의숲,세줄금반지,Rare/Quest,낮음 [BALANCED],바닥,장착/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
일반 몬스터,아벨해안던전,아쿠아글러브,Equipment,낮음 [BALANCED],바닥,장착/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
일반 몬스터,아벨해안던전,산호각반,Equipment,낮음 [BALANCED],바닥,장착/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
일반 몬스터,아벨해안던전,실버아쿠아링,Equipment,매우 낮음 [BALANCED],바닥,장착/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
일반 몬스터,뤼케시온해안던전,아쿠아레더글러브,Equipment,낮음 [BALANCED],바닥,장착/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
일반 몬스터,뤼케시온해안던전,아쿠아각반,Equipment,낮음 [BALANCED],바닥,장착/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
일반 몬스터,뤼케시온해안던전,골드아쿠아링,Equipment,매우 낮음 [BALANCED],바닥,장착/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
승급길 몬스터,죽음의마을/승급길,이동석,Quest/Common,중간 [BALANCED],바닥,죽음의마을리콜 제작/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
승급길 몬스터,죽음의마을/승급길,문열쇠,Quest,조건부 [BALANCED],바닥,던전 진행,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
본드라곤,승급길,직업별 승급 제물 재료,Quest/Rare,낮음 [BALANCED],바닥,승급 진행/유저거래,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
오피온 계열,오피온굴,블루오피온의수염/레드오피온의수염,Craft,낮음 [BALANCED],바닥,생명/암흑 목걸이 제작,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
드래곤뉴트 계열,오피온굴,드래곤뉴트의뿔,Craft,낮음 [BALANCED],바닥,생명/암흑 벨트 제작,SOURCE+BALANCED,,,,,,,,,,,,,,,,,,
퀵던전 일반몹,퀵던전,블루피치/슬롯개방석/자아의조각/셔스의혼/엑스쿠라눔 등,Mixed,가변,개인/바닥,소비/성장/유저거래,SOURCE,,,,,,,,,,,,,,,,,,
퀵던전 보스,퀵던전,유물함/[D]스텟주문서/골드,Boss,가변,개인소유권,개봉/거래/골드,SOURCE,,,,,,,,,,,,,,,,,,
