Monster_ID,몬스터명,지역,세부구역/등장,Tier,Lv,HP,EXP,공격속성,방어속성,선공여부,이동/공격특성,사용마법/특수행동,주요드롭/퀘스트재료,Boss/Event,Runtime_Inclusion,Evidence,Source_URL,검증상태,비고
POTE_RED,레드팜팻,포테의숲,1~2존,2C,,,,,,비선공/혼재,굴러서 근접공격,렌토 계열 저주,팜팻 계열 퀘스트 정수,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_GREEN,그린팜팻,포테의숲,1~2존,2C,,,,,,비선공/혼재,굴러서 근접공격,렌토 계열 저주,팜팻 계열 퀘스트 정수,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_PURPLE,퍼플팜팻,포테의숲,1~2존,2C,,,,,,비선공/혼재,굴러서 근접공격,렌토 계열 저주,퍼플팜팻의정수,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_SILVER,실버팜팻,포테의숲,1~2존,2C,,,,,,선공,추적+근접,렌토/마레노 계열 자료,실버팜팻의정수,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_TREANT,트렌트,포테의숲,일반존,2C,,,,,,주로 비선공,느린 이동,일부 개체 선공 자료,,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_ANTLION,앤트라이온,포테의숲,일반존,2C,,,,,,혼재,빠른 이동/공격,마법 사용 자료,,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_GNOLL,놀,포테의숲,일반존,2C,,,,,,혼재,근접,,,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_WOLFRIDER,울프라이더,포테의숲,3~4존,2C,,,,,,혼재,근접,,퀘스트 처치대상,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_LYCAN,라이칸스로프,포테의숲,일반존,2C,,,,,,혼재,근접,,,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
POTE_ANTGIANT,앤트자이언트,포테의숲,3~4존,2C,,,,,,혼재,빠른 이동/공격,마법 사용 자료,앤트자이언트의 날개,N,INCLUDE,V/FAN,https://www.ilbe.com/view/1149305921,BEHAVIOR_PARTIAL,정확 HP/EXP/속성은 추가 센스몬스터 원자료 필요.
