Metric,Value,설명,,,,,,,,,,,,,,,,,
Monster rows,42,포테/아벨/뤼케 28 + 호러10 + 죽마4,,,,,,,,,,,,,,,,,
Horror canonical monsters,10,남/여×5직업,,,,,,,,,,,,,,,,,
Horror HP,"80,000~140,000",사용자 확인 범위; 개체별 초기값 [B],,,,,,,,,,,,,,,,,
Horror room loop,10+ random theme rooms,"전멸→다음 랜덤 방, 10종 랜덤 스폰",,,,,,,,,,,,,,,,,
Death field,Zombie-focused / weak,필드 좀비는 공식호스팅 퀘스트 교차확인,,,,,,,,,,,,,,,,,
Death hunting HP,"~200,000 [B]",사용자 기준; 구자료 15만 중심/강한개체20~22만,,,,,,,,,,,,,,,,,
Death element,Random,사용자 확인,,,,,,,,,,,,,,,,,
Promotion Road,EXCLUDED,조건 충족 시 즉시 1차 승급,,,,,,,,,,,,,,,,,
Evidence policy,O/V/U/B separated,원본과 프로젝트 밸런스 분리,,,,,,,,,,,,,,,,,
Next,EXP/drop/AI recovery,호러 공격패턴·죽마 추가 roster·2C~4C 일반몹 수치,,,,,,,,,,,,,,,,,
