Source_ID,범위,핵심 근거,Evidence,URL,,,,,,,,,,,,,,,
MS01,포테/아벨/뤼케 보스,포테의정령·해안의광폭자·해안의폭군 센스몬스터 실측 HP/EXP/Lv/랜덤4속성,V,https://lod.nexon.com/community/game/3472?SearchBoard=1,,,,,,,,,,,,,,,
MS02,포테,"퍼플/실버팜팻 정수, 울프라이더/앤트자이언트 3~4존, 포테정령뿔 퀘스트",V,https://lod.nexon.com/community/game/4060?SearchBoard=1,,,,,,,,,,,,,,,
MS03,포테,팜팻/트렌트/앤트라이온/놀/울프라이더/라이칸스로프/앤트자이언트/은빛늑대/자이언트맨티스 행동·드롭 회고,FAN,https://www.ilbe.com/view/1149305921,,,,,,,,,,,,,,,
MS04,포테,2025 성장개선에서 은빛늑대/강력한놀/강력한울프라이더/강력한트렌트 젠 증가,O,https://lod.nexon.com/news/update/5095,,,,,,,,,,,,,,,
MS05,아벨,"터틀껍질/퐁퐁이조각/게껍질, 킹아크퍼스 이벤트 동선",V,https://lod.nexon.com/community/game/3452?SearchBoard=1,,,,,,,,,,,,,,,
MS06,뤼케,블루하콘/레드하콘/카카포/포이즌카카포 재료와 에리얼 보스 이벤트,V,https://lod.nexon.com/community/game/740?SearchBoard=1,,,,,,,,,,,,,,,
MS07,호러,"Lv99 반복던전, 속성 판별/몰이/방 구조, 남도가·남도적이 상대적으로 저HP라는 사냥자료",FAN,https://minimob.tistory.com/709,,,,,,,,,,,,,,,
MS08,호러,혼돈의탑 호러몹 스테이지에서 남자무도가 몬스터가 열쇠 드롭,V,https://lod.nexon.com/community/game/5247?SearchBoard=1,,,,,,,,,,,,,,,
MS09,죽음의마을,"집털 몬스터 대부분 HP 약15만, 강한 개체 20~22만",V,https://lod.nexon.com/community/game/5779?SearchBoard=1,,,,,,,,,,,,,,,
MS10,죽음의마을,집안/지하가 현재 공식 사냥터로 유지되고 지역 페널티 시스템 대상,O,https://lod.nexon.com/news/update/146375,,,,,,,,,,,,,,,
MS11,죽음의마을,다크클레릭 존재 및 대평원 변종과 차이가 있음,V,https://lod.nexon.com/community/game/4567?SearchBoard=1,,,,,,,,,,,,,,,
MS12,현행 변경,"2025 포테/아벨/뤼케 난이도·EXP 조정, 호러/죽마 EXP 상향",O,https://lod.nexon.com/news/update/5095,,,,,,,,,,,,,,,
