NPC_ID,NPC명,마을,원작 위치/시설,기능,상태,비고,,,,,,,,,,,,,,,,,,,
NPC_LANSEL,란셀주교,밀레스,교회,아이리스 이야기/성직자 세계관,ORIGINAL,밀레스 관련 퀘스트 자료,,,,,,,,,,,,,,,,,,,
NPC_ROSEMARY,로즈마리,밀레스,"81,43",모디아/아이리스 관련,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_MODIA,모디아,밀레스,"78,28",모디아의 사랑,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_TELLIDOAH,텔리도아,밀레스,"58,105",독거미 퀘스트,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_MERLIN_MILLES,멀린,밀레스,시약점,시약/성수 판매,ORIGINAL,구 Q&A 자료,,,,,,,,,,,,,,,,,,,
NPC_GILLENOA_MILLES,길레노아,밀레스,보관소/은행,은행/아이템 보관,ORIGINAL,구 Q&A 자료,,,,,,,,,,,,,,,,,,,
NPC_TINA,티나,피에트,"여관 70,27",여관길드 심부름,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_TEIMA,테이마,피에트,"96,72",독거미 퀘스트,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_ISAAC,아이작,피에트/기술관,기술관,전사 기술 교육,ORIGINAL,메가블레이드 스승 자료,,,,,,,,,,,,,,,,,,,
NPC_SINA,시나,피에트/마법관,마법관,마법 교육,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_DYLAN,딜란,아벨,"16,18",킹아크퍼스/대지의인장,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_RETO,레토,아벨,"은행 98,89",붉은진주 절차,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_TOMMY,토미,아벨,"여관 16,23",여관/퀘스트,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_PIERCE,피어스,아벨,무기상점,무기 판매/킹아크퍼스 시작,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_HARRISON,해리슨,아벨,방어구상점,방어구 판매,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_HUCHI,후치,뤼케시온,"9,8",후치 관련 퀘스트,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_NUDA,누다,뤼케시온,"16,58",해안/에리얼 정보,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_CHERRY,체리,뤼케시온,"40,15",4써클 의상 판매,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_RIMARA,리마라,마인,"여관 58,43",여관길드 심부름,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_MINE_SUP,광산감독관,마인,"86,26",광산 콘텐츠,ORIGINAL,,,,,,,,,,,,,,,,,,,,
NPC_BAEKWONMAN,백원만,마인,"7,6",호러캐슬 이동,ORIGINAL,호러캐슬 입장 시 100 Gold [ADAPTED],,,,,,,,,,,,,,,,,,,
