Phase,Time_sec,Actor,Action,Purpose,Can_Overlap,Evidence,,,,,
Acquire,0,AUTO,방 생성/타겟 탐색,encounter 시작,N,B,,,,,
Debuff,2,마법사,나르/저주,방어/행동 억제,Y,V,,,,,
Sense,3,도적,센스몬스터→속성 공유,공격 속성 결정,Y,V,,,,,
Protect,3,성직자,보호/상태관리,격수 uptime,Y,V,,,,,
Engage,5,전사/무도가,접근+근접 연계,HP削り,Y,V+B,,,,,
Sustain,8,전원,직업별 기본기/광역,주 DPS 구간,Y,B,,,,,
Burst,24,전사/도적/무도가/법사,필살기 조건평가,마무리/광역정리,Y,V+B,,,,,
Recover,28,성직자/소모품/자연회복,HP/MP 복구,다음 방 준비,Y,B,,,,,
Loot,35,AUTO,퀘스트>희귀>재료>소모품>Gold>일반,드랍 회수,Y,B,,,,,
Transition,39,AUTO,다음 랜덤 테마방,42초 encounter 목표,N,U+B,,,,,
