Stage_ID,루트,레벨/단계,거점마을,사냥터,몬스터 Tier,스킬 목표,장비 목표,주요 드롭,퀘스트,경제 루프,Exit Gate,,,,,,,,,,,,,,
P00,신규,Lv1~10,밀레스,밀레스 지하묘지,초기 언데드/소환석,"직업 기본기 습득, 스탯 배분 시작",1써클 직업 의상/기본무기,"HP/MP 포션 소량, 잡템",지하묘지 3연퀘 + 직업 선택,잡템 NPC판매 → 초기 포션/장비,Lv10 + 기본기 습득,,,,,,,,,,,,,,
P01,1회차,Lv11~20,피에트,포테의숲 입구권,놀/팜팻/울프 계열,2써클 기본기/보조기 시작,2써클 의상 + 가죽장갑/각반/방패 + 속성 목걸이/벨트 첫 세트,잡템/셔스의혼(+1~2)/세줄금반지 계열,팜팻 변화1/자경단,NPC판매 + 첫 유저거래,Lv20 + 속성장비 1세트,,,,,,,,,,,,,,
P02,1회차,Lv21~40,피에트,포테의숲 심부,은빛늑대/앤트자이언트/정령/맨티스,"2써클 핵심기 숙련, 3써클 선수조건 준비",2써클 상위의상/귀걸이/반지/방패,희귀 반지/스킬재료/골드성 잡템,팜팻 변화2/정수정화/맨티스,재료 거래 → 3써클 준비,Lv40 + 핵심스킬 선수숙련 충족,,,,,,,,,,,,,,
P03,1회차,Lv41~55,아벨,아벨해안 초중층,크랩/터틀/퐁퐁이 등 해안군,3써클 공격/상태/회복기 개방,3써클 의상 + 동장갑/동각반/녹색신발/철방패,아쿠아글러브/산호각반/실버아쿠아링 재료,킹아크퍼스 전반부,드롭 장비 유저거래 + 상점 교체,Lv55 + 3써클 주력기,,,,,,,,,,,,,,
P04,1회차,Lv56~70,아벨,아벨해안 심부/보스,해안 상위몹/킹아크퍼스,3써클 상위기·광역/유틸 숙련,레더부츠/은제방패 + 3써클 상위 직업무기,실버아쿠아링/퀘스트 재료,킹아크퍼스 완료,희귀장비 판매 → 4써클 자금,Lv70 + 킹아크퍼스 완료 권장,,,,,,,,,,,,,,
P05,1회차,Lv71~85,뤼케시온,뤼케시온해안 초중층,해적/카카포/하콘 계열,4써클 핵심기 개방,4써클 의상 + 은장갑/은각반/금제방패 + 상위 무기,아쿠아레더/아쿠아각반/골드아쿠아링 재료,에리얼 전반부,속성 목걸이/벨트 다중 프리셋 완성,Lv85 + 4속성 대응 2~4세트,,,,,,,,,,,,,,
P06,1회차,Lv86~98,뤼케시온,뤼케시온해안 심부/에리얼,해안 상위몹/에리얼,"4써클 완성, 5써클/지존 선수숙련 준비",마그마부츠/플라늄방패 + 4써클 상위 직업장비,골드아쿠아링/에리얼 재료/파파야방패,에리얼 완료,고가 장비 거래 → 지존 자금,Lv98 + 핵심 4써클 스킬 숙련,,,,,,,,,,,,,,
P07,1회차,Lv99 지존,마인,호러캐슬,호러캐슬 인간형/지존 몹,5써클 핵심기: 크래셔/암살격/라그나로크/코마디아·리베라토/다라밀공·구양신공 계열 완성,5써클 장비 + 속성 풀 프리셋,고급 잡템/장비/숙련용 사냥,호러캐슬 진입 100 Gold,사냥비용 < 드롭/NPC판매 수익 유지,전직 또는 순수 선택,,,,,,,,,,,,,,
P08A,순수 루트,Lv99 순수,마인,호러캐슬→죽음의마을,지존/승급 준비몹,승급 필수기 MAX + 순수승급 강화스킬 준비,지존 장비/승급 재료 세팅,이동석/문열쇠/직업별 제물,승급 준비,재료 유저거래 활성,체마/경험치/필수숙련/제물 충족,,,,,,,,,,,,,,
P08B,전직 루트,전직 Lv1~40,밀레스→피에트,지하묘지→포테,"동일 몹, 전직자 성장보정",기존 직업 스킬 유지 + 새 직업 1~2써클 습득,기존 장비 일부 유지/새 직업 의상 구매,저레벨 재료 재활용,2회차 주요 퀘스트는 선택,"[ADAPTED] 전직 경험치 ×2, AUTO 적극 활용",Lv40 + 새 직업 핵심기,,,,,,,,,,,,,,
P09B,전직 루트,전직 Lv41~98,아벨→뤼케시온,아벨해안→뤼케시온해안,"동일 사냥터, 전직자 성장보정",새 직업 3~4써클 + 이전직업 기술 조합,새 직업 장비 파밍,장비/재료 재거래,보스퀘 재도전 선택,2회차는 파밍/숙련 중심,Lv98 + 새 직업 4써클 완성,,,,,,,,,,,,,,
P10B,전직 루트,전직 Lv99,마인,호러캐슬,지존 몹,새 직업 5써클/승급 필수기 MAX,지존 세팅,승급 재료,승급 준비,호러/죽마 경제 재진입,승급 조건 충족,,,,,,,,,,,,,,
P11,공통,1차 승급,마인,죽음의마을/승급길,본드라곤/승급길 몹,일반승급 스킬 또는 순수승급 강화스킬 획득,직업별 승급 지급 장비,직업별 제물 소모,5직업 그룹 승급,재료 소각 + 최종 장비 지급,1차 승급 완료 = 출시 Endgame 진입,,,,,,,,,,,,,,
