Check,Result,설명,,,,,,,
Lv1→99 total EXP,150000000,정확히 1.5억,,,,,,,
Curve monotonic,PASS,모든 레벨의 Required EXP가 이전 레벨보다 큼,,,,,,,
Segment continuity,PASS,각 구간 첫 요구EXP가 직전 구간 마지막 값보다 큼,,,,,,,
Horror EXP anchor,150k~200k,사용자 기억값 그대로,,,,,,,
Horror HP anchor,80k~140k,사용자 기억값 그대로,,,,,,,
Horror EXP relation,Linear interpolation [B],HP가 높은 개체일수록 EXP 증가,,,,,,,
Post-99 resource sink,Escalating,HP/MP가 높아질수록 구매 EXP 비용 증가,,,,,,,
Promotion held EXP,250000000,기존 검증 승급 조건,,,,,,,
Promotion road,EXCLUDED,조건 충족 시 즉시 승급,,,,,,,
Ultimate scaling,Preserved,HP/MP가 필살기 화력자원이라는 원작 구조 유지,,,,,,,
