Parameter,Value,Evidence,설명,,,,,,
LV1_99_TOTAL_EXP,150000000,U+B,사용자 기억값을 프로젝트 목표 누적 EXP로 채택,,,,,,
LV1_10_CUM_EXP,300000,B,초반 적응 구간,,,,,,
LV1_40_CUM_EXP,9000000,B,2C 종료 목표,,,,,,
LV1_70_CUM_EXP,37500000,B,3C 종료 목표,,,,,,
LV1_90_CUM_EXP,82500000,B,4C 후반 진입 목표,,,,,,
LV1_99_CUM_EXP,150000000,U+B,Lv99 도달 누적 목표,,,,,,
HORROR_HP_MIN,80000,U,호러 몬스터 HP 하한 기억값,,,,,,
HORROR_HP_MAX,140000,U,호러 몬스터 HP 상한 기억값,,,,,,
HORROR_EXP_MIN,150000,U,호러 몬스터 EXP 하한 기억값,,,,,,
HORROR_EXP_MAX,200000,U,호러 몬스터 EXP 상한 기억값,,,,,,
HORROR_EXP_SLOPE,0.8333333333,B,(20만-15만)/(14만-8만),,,,,,
HORROR_EXP_INTERCEPT,83333.3333,B,EXP = intercept + slope × HP,,,,,,
HP_BUY_UNIT,100,B,Lv99 이후 HP 구매 단위,,,,,,
MP_BUY_UNIT,50,B,Lv99 이후 MP 구매 단위,,,,,,
HP_COST_BASE_EXP,400000,B,HP 구매 비용곡선 기준값,,,,,,
HP_COST_SCALE,20000,B,HP 구매 비용 증가 스케일,,,,,,
HP_COST_POWER,1.35,B,HP 구매 비용 증가 지수,,,,,,
MP_COST_BASE_EXP,550000,B,MP 구매 비용곡선 기준값,,,,,,
MP_COST_SCALE,10000,B,MP 구매 비용 증가 스케일,,,,,,
MP_COST_POWER,1.45,B,MP 구매 비용 증가 지수,,,,,,
PROMOTION_HELD_EXP,250000000,V,1차 승급 보유 EXP 조건(기존 검증값),,,,,,
STAT_POINT_HP_COST,300,V/B,승급 후 스탯 1포인트당 HP 300 모델; 시대별 규칙 차이 가능,,,,,,
