Quest_ID,퀘스트명,거점마을,구간,주요 위치,핵심 목표,보상/역할,상태,비고,,,,,,,,,,,,,,,,,
Q_MILLES_UNDEAD,밀레스 지하묘지의 언데드,밀레스,1~2써클,밀레스 지하묘지,언데드 처치,경험치/초기 성장,ORIGINAL,메인 진행으로 배치,,,,,,,,,,,,,,,,,
Q_MILLES_DARKSTONE,암흑 소환석 파괴,밀레스,1~2써클,밀레스 지하묘지,암흑 소환석 파괴,경험치/초기 성장,ORIGINAL,연속 퀘스트,,,,,,,,,,,,,,,,,
Q_MILLES_TREASURE,밀레스 지하묘지의 보물 상자,밀레스,1~2써클,밀레스 지하묘지,보물상자 탐색,아이템/성장,ORIGINAL,,,,,,,,,,,,,,,,,,
Q_MILLES_MODIA,모디아의 사랑을 도와주자,밀레스,2써클,"모디아 78,28 → 로즈마리 81,43",NPC 대화/심부름,스토리/마을 소개,ORIGINAL,,,,,,,,,,,,,,,,,,
Q_PIET_PAMPAET1,팜팻의 변화 1,피에트,2써클,포테의숲,팜팻 조사/사냥,성장,ORIGINAL,,,,,,,,,,,,,,,,,,
Q_PIET_PAMPAET2,팜팻의 변화 2,피에트,2써클,포테의숲,팜팻 조사/사냥,셔스의혼 계열/성장,ORIGINAL,,,,,,,,,,,,,,,,,,
Q_PIET_GUARD,피에트 자경단의 임무,피에트,2써클,포테의숲,포테 몬스터 처치,성장/골드,ORIGINAL,,,,,,,,,,,,,,,,,,
Q_PIET_PURIFY,피에트 정수 정화,피에트,2써클,포테의숲,지역 정화,성장,ORIGINAL,,,,,,,,,,,,,,,,,,
Q_ABEL_KINGARK,킹아크퍼스 이벤트,아벨,3써클,"무기점→16,18→은행98,89→아벨해안",퐁퐁이조각/터틀껍질/게껍질/포스파늄 수집 + 파티 보스,세줄황금반지,ORIGINAL,핵심 3써클 장기 퀘스트,,,,,,,,,,,,,,,,,
Q_RUC_ARIEL,에리얼 이벤트,뤼케시온,4써클,누다→뤼케시온해안,하콘/카카포 재료 + 5직업 파티 보스,파파야방패,ORIGINAL,핵심 4써클 장기 퀘스트,,,,,,,,,,,,,,,,,
Q_MINE_HORROR,호러캐슬 진입,마인,5써클,"백원만 7,6",100 Gold 지불 → 호러캐슬,지존 사냥 해금,ORIGINAL,원작 입장료를 모바일판 100 Gold로 완화 [ADAPTED],,,,,,,,,,,,,,,,,
Q_ADVANCE_ROUTE,승급 준비/죽음의마을,마인,지존/승급,죽음의마을/승급길,이동석·문열쇠·직업별 제물 수집,1차 승급,ORIGINAL,최종 성장 루프,,,,,,,,,,,,,,,,,
