Row,Skill,Job,Result_Status,핵심 보강,Primary_Source
11,피닉스모드,전사,PARTIAL_VERIFIED,피닉스모드. 기본공격 대미지를 소폭 강화하는 상위 모드로 확인됨.,https://lod.nexon.com/community/game/3089?SearchBoard=1
25,찌르기,도적,EFFECT_VERIFIED,도적 기본 근접 공격 기술. 이후 찔러휘비기→마구찌르기 업그레이드 체인.,https://lod.nexon.com/News/update/4933
26,센스몬스터,도적,EFFECT_VERIFIED,몬스터 정보 확인. 숙련도가 오를수록 이름/EXP→HP→공격속성→방어속성까지 확인 가능.,https://lod.nexon.com/community/game/1712?SearchBoard=1
27,표창날리기,도적,PARTIAL_VERIFIED,표창을 이용한 원거리 공격. 지존 구간에서 멀리 있는 몬스터 유인 용도로도 사용.,https://lod.nexon.com/Community/game/7536?Category2=1&Page=9&SearchBoard=1
31,찔러휘비기,도적,EFFECT_VERIFIED,찌르기의 상위 근접 공격 기술. 승급 후 마구찌르기로 업그레이드.,https://lod.nexon.com/community/game/7026?SearchBoard=1
33,품뒤져보기,도적,EFFECT_VERIFIED,상대 플레이어의 소지 아이템을 확인하는 기술.,https://lod.nexon.com/community/game/1712?SearchBoard=1
34,센스,도적,EFFECT_VERIFIED,유저의 HP/MP 등 정보를 확인. 센스몬스터의 플레이어 대상 버전.,https://lod.nexon.com/community/game/1712?SearchBoard=1
36,함정찾기1,도적,EFFECT_VERIFIED,낮은 등급의 함정을 탐지/표시.,https://lod.nexon.com/community/game/1712?SearchBoard=1
37,라이트닝무브,도적,EFFECT_VERIFIED,물리 공격 회피율을 높이는 버프.,https://lod.nexon.com/community/game/1712?SearchBoard=1
41,함정찾기2,도적,EFFECT_VERIFIED,함정찾기1의 상위 탐지 마법. 승급자 사냥터급 함정 탐지에 사용.,https://lod.nexon.com/community/game/1712?SearchBoard=1
45,마구찌르기,도적,EFFECT_VERIFIED,찔러휘비기 업그레이드 공격기. 스킬레벨 상승 시 대미지 증가.,https://lod.nexon.com/community/game/7026?SearchBoard=1
46,슬래쉬,도적,EFFECT_VERIFIED,두번찌르기 업그레이드 공격기. 인식 여부와 무관하게 사용 가능하다는 현자 자료.,https://lod.nexon.com/community/game/7026?SearchBoard=1
50,하이더,도적,PARTIAL_VERIFIED,상위 은신 마법. 하이드/하이더 계열 은신 상태를 형성.,https://lod.nexon.com/community/game/3087?SearchBoard=1
54,백슬래쉬,도적,EFFECT_VERIFIED,전방·후방 각 1칸을 공격하는 순수도적 기술.,https://gamezone.live/board_vJGK77/813566?order_type=desc&sort_index=title
55,설치형트랩,도적,EFFECT_VERIFIED,설치형 트랩을 습득하며 기본공격 추가타 1회를 부여하는 구조가 확인됨.,https://lod.nexon.com/community/game/6929?SearchBoard=1
61,콘푸지오,마법사,EFFECT_VERIFIED,몬스터의 공격 타겟/인식을 혼란·초기화하는 마법. 아무네지아와 유사한 역할.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
62,수페라마레나,마법사,EFFECT_VERIFIED,1단계 사방 속성 공격마법. 같은 속성의 1단계 단일마법보다 약간 강한 계열.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
63,수페라테라미카,마법사,EFFECT_VERIFIED,1단계 사방 속성 공격마법. 같은 속성의 1단계 단일마법보다 약간 강한 계열.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
64,수페라아듀라,마법사,EFFECT_VERIFIED,1단계 사방 속성 공격마법. 같은 속성의 1단계 단일마법보다 약간 강한 계열.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
65,수페라플라미카,마법사,EFFECT_VERIFIED,1단계 사방 속성 공격마법. 같은 속성의 1단계 단일마법보다 약간 강한 계열.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
66,바르도,마법사,EFFECT_VERIFIED,"2단계 저주. AC +35, 마법방어 -10%.",https://lod.nexon.com/community/game/7799?SearchBoard=1
68,마레누스,마법사,EFFECT_VERIFIED,2단계 단일 속성 공격마법.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
69,테라미쿠스,마법사,EFFECT_VERIFIED,2단계 단일 속성 공격마법.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
70,아듀로스,마법사,EFFECT_VERIFIED,2단계 단일 속성 공격마법.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
71,플라무스,마법사,EFFECT_VERIFIED,2단계 단일 속성 공격마법.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
73,엑스마레나,마법사,EFFECT_VERIFIED,2단계 사방 속성 공격마법. 타겟 지정형.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
74,엑스테라미카,마법사,EFFECT_VERIFIED,2단계 사방 속성 공격마법. 타겟 지정형.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
75,엑스아듀라,마법사,EFFECT_VERIFIED,2단계 사방 속성 공격마법. 타겟 지정형.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
76,엑스플라미카,마법사,EFFECT_VERIFIED,2단계 사방 속성 공격마법. 타겟 지정형.,https://www.namu.moe/w/%EC%96%B4%EB%91%A0%EC%9D%98%20%EC%A0%84%EC%84%A4/%EA%B8%B0%EC%88%A0%EB%A7%88%EB%B2%95
