Skill_ID,스킬명,직업,요구Lv,STR,CON,INT,DEX,WIS,선행스킬,필요아이템,Gold,숙련조건,상태,,,,,,,,,,,,
SK_전사_001,숏블레이드,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_002,더블어택,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_003,윈드블레이드,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_004,디바투,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_005,트리플어택,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_006,메가블레이드,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_007,바투,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_008,투핸드어택,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_009,드래곤모드,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_010,피닉스모드,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_011,적무기쳐내기,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_012,레스큐,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_013,매드소울,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_014,완전방어,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_015,크래셔,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_016,스톰블레이드,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_017,룬블레이드,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_018,집중,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_019,포효,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_020,메가어택,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_021,돌진,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_022,매드소울진,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_전사_023,데빌크래셔,전사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_001,찌르기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_002,센스몬스터,도적,,,,5,,,,,,,V: 2010 패치 후 INT5. 2022 보상 Lv8 기술서.,,,,,,,,,,,,
SK_도적_003,표창날리기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_004,밀기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_005,아무네지아,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_006,연막탄터뜨리기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_007,찔러휘비기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_008,더블어택,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_009,품뒤져보기,도적,,,,,,,센스몬스터 60 (2010 자료),,,,V: 선수과목 센스몬스터 60.,,,,,,,,,,,,
SK_도적_010,센스,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_011,하이드,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_012,함정찾기1,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_013,라이트닝무브,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_014,두번찌르기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_015,습격,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_016,센서스,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_017,함정찾기2,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_018,함정해체,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_019,적갑옷해체,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_020,암살격,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_021,마구찌르기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_022,슬래쉬,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_023,기습,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_024,트리플어택,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_025,함정파기,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_026,하이더,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_027,암살격진,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_028,습격진,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_029,백스탭,도적,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_도적_030,백슬래쉬,도적,,105,15,15,155,20,,포보스방패 + 깨진포보스방패,30000000,,V: 순수도적 구자료/2025 비용자료 교차.,,,,,,,,,,,,
SK_도적_031,설치형트랩,도적,,,,,,,,,20000000,,V: 2025 비용자료.,,,,,,,,,,,,
SK_마법사_001,마레노,마법사,,,,4,,4,,,,,FAN-VERIFIED: INT 4 / WIS 4 (Namu skill document); official exact acquisition table not exposed in guide,,,,,,,,,,,,
SK_마법사_002,렌토,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_003,테라미코,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_004,아듀로,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_005,플라모,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_006,콘푸지오,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_007,수페라마레나,마법사,,,,25,,,,,,,V: 2010 변경자료 INT25; WIS 조건은 해당 게시물에 변경값 미기재.,,,,,,,,,,,,
SK_마법사_008,수페라테라미카,마법사,,,,25,,,,,,,V: 2010 변경자료 INT25; WIS 조건은 해당 게시물에 변경값 미기재.,,,,,,,,,,,,
SK_마법사_009,수페라아듀라,마법사,,,,25,,,,,,,V: 2010 변경자료 INT25; WIS 조건은 해당 게시물에 변경값 미기재.,,,,,,,,,,,,
SK_마법사_010,수페라플라미카,마법사,,,,25,,,,,,,V: 2010 변경자료 INT25; WIS 조건은 해당 게시물에 변경값 미기재.,,,,,,,,,,,,
SK_마법사_011,바르도,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_012,베노미,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_013,마레누스,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_014,테라미쿠스,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_015,아듀로스,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_016,플라무스,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_017,나르콜리,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
SK_마법사_018,엑스마레나,마법사,,,,,,,,,,,확인 필요,,,,,,,,,,,,
