Metric,Value,설명,,,,,,,,,,,,,,,,,,,,,,,,
Total Skill_Master,184,현재 1차 승급 범위 스킬명,,,,,,,,,,,,,,,,,,,,,,,,
v3.1 Effect researched,126,이전 패스,,,,,,,,,,,,,,,,,,,,,,,,
v3.2 Targeted backlog,58,이전 SCHEMA_ONLY 전량 재조사,,,,,,,,,,,,,,,,,,,,,,,,
v3.3 User confirmations applied,6,피닉스모드/수혈/베누스티/표창날리기/붕신선각/파천각,,,,,,,,,,,,,,,,,,,,,,,,
Excluded by design,1,"베누스티는 Master 보존, runtime 제외",,,,,,,,,,,,,,,,,,,,,,,,
Official correction,1,붕신선각/파천각은 2차가 아니라 1차 승급스킬로 공식 업데이트에서 확인,,,,,,,,,,,,,,,,,,,,,,,,
Remaining high-value unknowns,3,"파천각 정확 범위, 피닉스 절대 DAM/HIT, 수혈 정확 % 기준/HP 소모량",,,,,,,,,,,,,,,,,,,,,,,,
Evidence policy,O/V/U separated,사용자 기억값은 U로 별도 추적,,,,,,,,,,,,,,,,,,,,,,,,
Policy,No fabrication,불명확 수치는 공란/partial 유지,,,,,,,,,,,,,,,,,,,,,,,,
Next,Skill v3.3 freeze candidate,남은 3개는 runtime 구현을 막지 않으며 이후 보강 가능,,,,,,,,,,,,,,,,,,,,,,,,
