Source_ID,제목,URL,종류,,,,,,,,,,,,,,,,,,,,,,
SRC_WARRIOR_REWARD,전사 레벨업 보상 시스템,https://lod.nexon.com/Community/game/7534?Category2=1&SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_ROGUE_REWARD,도적 레벨업 보상 시스템,https://lod.nexon.com/community/game/7536?SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_WIZARD_REWARD,마법사 레벨업 보상 시스템,https://lod.nexon.com/Community/game/7537?Category2=1&SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_PRIEST_REWARD,성직자 레벨업 보상 시스템,https://lod.nexon.com/Community/game/7538?Category2=1&SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_MONK_REWARD,무도가 레벨업 보상 시스템,https://lod.nexon.com/community/game/7539?SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_GEAR_GUIDE,1~4써클 장비 착용하기,https://lod.nexon.com/Community/game/6222?Category2=1&SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_WARRIOR_OLD,전사 육성 가이드,https://lod.nexon.com/community/game/1316?SearchBoard=1,2005 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_SEWER,지하수로 가이드,https://lod.nexon.com/community/game/1209?SearchBoard=1,2005 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_ADVANCE,승급 A to Z,https://lod.nexon.com/Community/game/7040?Category2=7&Page=2&SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_ADVANCE_OLD,전직/승급 조건,https://lod.nexon.com/community/game/6196?SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_ELEMENT_CRAFT,생명/암흑 속성 장비 제조,https://lod.nexon.com/community/game/416?SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
SRC_QUICK_DROP,퀵던전 드롭 예시,https://lod.nexon.com/community/game/7002?SearchBoard=1,공식 사이트 현자의마을,,,,,,,,,,,,,,,,,,,,,,
