Parameter,Value,Unit,Evidence,설명,,,,,
LV1_99_TARGET_HOURS,15,hours,U+B,Lv1→99 전체 목표 순수 사냥시간,,,,,
LV90_99_TARGET_HOURS,5,hours,U,사용자 요구: 최소 약 5시간,,,,,
LV1_10_TARGET_HOURS,0.5,hours,B,튜토리얼/평민 빠른 성장,,,,,
LV10_40_TARGET_HOURS,2,hours,B,포테 핵심 구간,,,,,
LV40_70_TARGET_HOURS,3,hours,B,아벨 핵심 구간,,,,,
LV70_90_TARGET_HOURS,4.5,hours,B,뤼케 전반,,,,,
LV99_PROMOTION_TARGET_HOURS,35,hours,U+B,사용자 요구 30시간 이상; 중앙 목표 35h,,,,,
PROMOTION_STATMAX_TARGET_HOURS,120,hours,U+B,사용자 요구 100시간 이상; 중앙 목표 120h,,,,,
HORROR_TYPICAL_EXP,175000,EXP/monster,U+B,호러 15~20만의 중앙값,,,,,
HORROR_TARGET_KILLS_PER_HOUR,86,kills/hour,B,약 41.9초/킬. 이동/랜덤룸 포함 평균,,,,,
HORROR_TARGET_EXP_PER_HOUR,15050000,EXP/hour,B,"175,000×86",,,,,
PROMOTION_HELD_EXP,250000000,EXP,V,승급 시 보유해야 하는 EXP,,,,,
PROMOTION_RESOURCE_SPEND_BUDGET,276750000,EXP,B,35h 총수익에서 2.5억 보유분을 제외한 체마 구매 예산,,,,,
DEATH_TYPICAL_EXP,300000,EXP/monster,B,죽음의마을 집안/지하 초기 평균 EXP,,,,,
DEATH_TARGET_KILLS_PER_HOUR,80,kills/hour,B,약 45초/킬. 파티 몰이/정리 포함,,,,,
DEATH_TARGET_EXP_PER_HOUR,24000000,EXP/hour,B,"300,000×80",,,,,
STATMAX_TOTAL_EXP_BUDGET,2880000000,EXP,B,24m/h×120h = 28.8억; 직업별 분배는 추후 stat cap 확정 후,,,,,
