Service_ID,마을,시설,NPC,기능/판매,게임 루프,상태,,,,,,,,,,,,,,,,,,,
SHOP_MILLES_POTION,밀레스,시약점,멀린,"HP/MP 회복, 성수 등 초기 소비품",초기 사냥 지속,ORIGINAL,,,,,,,,,,,,,,,,,,,
BANK_MILLES,밀레스,은행/보관소,길레노아,골드·아이템 보관,경제 허브,ORIGINAL,,,,,,,,,,,,,,,,,,,
SHOP_PIET_WEAPON,피에트,무기점,원작 상인,가이아두스 계열/2~4써클 무기,2써클 장비 교체,ORIGINAL,,,,,,,,,,,,,,,,,,,
SHOP_PIET_SKILL,피에트,기술/마법관,아이작/시나 등,기술·마법 습득의 원작 세계관 거점,Skill Book 원격 습득 연동,ORIGINAL+ADAPTED,,,,,,,,,,,,,,,,,,,
BANK_PIET,피에트,은행/보관,원작 은행 기능,골드·아이템 보관,사냥 재료 정리,ADAPTED_ANCHOR,,,,,,,,,,,,,,,,,,,
SHOP_ABEL_WEAPON,아벨,무기점,피어스,3써클 무기/퀘스트,킹아크퍼스 시작,ORIGINAL,,,,,,,,,,,,,,,,,,,
SHOP_ABEL_ARMOR,아벨,방어구점,해리슨,3써클 방어구,해안 사냥 준비,ORIGINAL,,,,,,,,,,,,,,,,,,,
SHOP_ABEL_POTION,아벨,시약점,원작 상인,회복/퀘스트 연계,킹아크퍼스 펜던트 절차,ORIGINAL,,,,,,,,,,,,,,,,,,,
BANK_ABEL,아벨,은행,레토,보관/퀘스트,포스파늄→붉은진주,ORIGINAL,,,,,,,,,,,,,,,,,,,
SHOP_RUC_ARMOR,뤼케시온,의상/방어구,체리,4써클 의상,4써클 장비 교체,ORIGINAL,,,,,,,,,,,,,,,,,,,
BANK_RUC,뤼케시온,은행/보관,원작 은행 기능,골드·아이템 보관,해안 파밍 정리,ADAPTED_ANCHOR,,,,,,,,,,,,,,,,,,,
SHOP_MINE_RECALL,마인,리콜/이동,원작 리콜상점,리콜류/이동,지존 사냥 동선,ORIGINAL,,,,,,,,,,,,,,,,,,,
BANK_MINE,마인,은행,길레노아 계열 은행,골드·아이템 보관,호러/승급 준비,ORIGINAL,,,,,,,,,,,,,,,,,,,
