Step,Player State,Location,Action,System Validated,Expected Result,QA Priority,,,,,
1,신규,캐릭터 생성,성별/머리/색/이름 설정,Character Creation,직업 선택 없이 평민 생성,P0,,,,,
2,평민 Lv1,밀레스,"조이스틱/탭 이동, NPC 대화",Movement/UI,화면상 ↖↗↙↘ 이동,P0,,,,,
3,Lv1-10,초반,AUTO/수동 전투,Combat/AUTO,Lv10까지 약30분,P0,,,,,
4,직업선택,밀레스,5직업 중 선택,Job,직업 스킬 성장 시작,P0,,,,,
5,Lv10-40,포테,팜팻→정수→강력몹→보스,Quest/Drop/Boss,약2시간,P0,,,,,
6,Lv40-60,밀레스묘지,언데드→소환석→보물상자,Quest/Object,상자/도적혜택/퀘스트 체인,P1,,,,,
7,Lv40-70,아벨,재료→킹아크퍼스,Party/Boss,약3시간 구간,P0,,,,,
8,Lv70-90,뤼케,5직업 파티→에리얼,Party Roles,약4.5시간,P0,,,,,
9,Lv90-99,뤼케후반,반복 사냥,Progression,약5시간 후 Lv99,P0,,,,,
10,Lv99,호러,100 Gold 입장→랜덤방 반복,Random Dungeon,86 kills/h 목표,P0,,,,,
11,Lv99 성장,호러,EXP→HP/MP 구매,Economy,35h 총량에서 승급조건 도달,P0,,,,,
12,승급조건완료,마인,승급 판정,Promotion,승급길 없이 즉시 1차승급,P0,,,,,
13,1차승급,죽마 집털,몰이/저주/센스/광역,Endgame Party,24m EXP/h 목표,P0,,,,,
14,승급 성장,죽마,체력구매→STAT 구매,Stat Economy,약120h 주력 STAT MAX,P0,,,,,
15,STAT MAX,죽마,EXP→체마,Endless Growth,필살기 자원/화력 지속상승,P1,,,,,
